"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health",80
"eastern cape","Public Health",562
"Eastern Cape","Private Health",1928
"Eastern Cape","Public Health",6110
"free state","Private Health",16
"free state","Public Health",209
"Free State","Private Health",1178
"Free State","Public Health",3750
"gauteng","Private Health",408
"gauteng","Public Health",464
"Gauteng","Private Health",12248
"Gauteng","Public Health",15432
"kwazulu-natal","Private Health",178
"kwazulu-natal","Public Health",539
"KwaZulu-Natal","Private Health",3520
"KwaZulu-Natal","Public Health",7029
"limpopo","Private Health",6
"limpopo","Public Health",262
"Limpopo","Private Health",2118
"Limpopo","Public Health",9171
"mpumalanga","Private Health",12
"mpumalanga","Public Health",87
"Mpumalanga","Private Health",1311
"Mpumalanga","Public Health",4231
"northern cape","Private Health",4
"northern cape","Public Health",70
"Northern Cape","Private Health",508
"Northern Cape","Public Health",1786
"north west","Private Health",27
"north west","Public Health",128
"North West","Private Health",1258
"North West","Public Health",3605
"western cape","Private Health",157
"western cape","Public Health",496
"Western Cape","Private Health",4625
"Western Cape","Public Health",7526
