"province","age_group","sex","vaccination_date","total_number_individuals_vaccinated"
"Eastern Cape","18-34","Female","2021-02-18",13
"Eastern Cape","18-34","Female","2021-02-19",41
"Eastern Cape","18-34","Female","2021-02-21",18
"Eastern Cape","18-34","Female","2021-02-22",57
"Eastern Cape","18-34","Female","2021-02-23",112
"Eastern Cape","18-34","Female","2021-02-24",197
"Eastern Cape","18-34","Female","2021-02-25",145
"Eastern Cape","18-34","Female","2021-02-26",115
"Eastern Cape","18-34","Female","2021-02-27",21
"Eastern Cape","18-34","Female","2021-02-28",34
"Eastern Cape","18-34","Female","2021-03-01",16
"Eastern Cape","18-34","Female","2021-03-02",37
"Eastern Cape","18-34","Female","2021-03-03",132
"Eastern Cape","18-34","Female","2021-03-04",161
"Eastern Cape","18-34","Female","2021-03-05",148
"Eastern Cape","18-34","Female","2021-03-08",74
"Eastern Cape","18-34","Female","2021-03-09",229
"Eastern Cape","18-34","Female","2021-03-10",181
"Eastern Cape","18-34","Female","2021-03-11",146
"Eastern Cape","18-34","Female","2021-03-12",87
"Eastern Cape","18-34","Female","2021-03-15",124
"Eastern Cape","18-34","Female","2021-03-16",177
"Eastern Cape","18-34","Female","2021-03-17",178
"Eastern Cape","18-34","Female","2021-03-18",294
"Eastern Cape","18-34","Female","2021-03-19",281
"Eastern Cape","18-34","Female","2021-03-23",280
"Eastern Cape","18-34","Female","2021-03-24",239
"Eastern Cape","18-34","Female","2021-03-25",304
"Eastern Cape","18-34","Female","2021-03-26",283
"Eastern Cape","18-34","Female","2021-03-29",265
"Eastern Cape","18-34","Female","2021-03-30",272
"Eastern Cape","18-34","Female","2021-03-31",318
"Eastern Cape","18-34","Female","2021-04-01",184
"Eastern Cape","18-34","Female","2021-04-06",156
"Eastern Cape","18-34","Female","2021-04-07",193
"Eastern Cape","18-34","Female","2021-04-08",219
"Eastern Cape","18-34","Female","2021-04-09",236
"Eastern Cape","18-34","Female","2021-04-12",180
"Eastern Cape","18-34","Female","2021-04-13",134
"Eastern Cape","18-34","Female","2021-04-21",1
"Eastern Cape","18-34","Female","2021-04-28",131
"Eastern Cape","18-34","Female","2021-04-29",120
"Eastern Cape","18-34","Female","2021-04-30",99
"Eastern Cape","18-34","Female","2021-05-03",106
"Eastern Cape","18-34","Female","2021-05-04",139
"Eastern Cape","18-34","Female","2021-05-05",270
"Eastern Cape","18-34","Female","2021-05-06",317
"Eastern Cape","18-34","Female","2021-05-07",327
"Eastern Cape","18-34","Female","2021-05-10",391
"Eastern Cape","18-34","Female","2021-05-11",482
"Eastern Cape","18-34","Female","2021-05-12",537
"Eastern Cape","18-34","Female","2021-05-13",512
"Eastern Cape","18-34","Female","2021-05-14",739
"Eastern Cape","18-34","Female","2021-05-15",19
"Eastern Cape","18-34","Female","2021-05-16",4
"Eastern Cape","18-34","Female","2021-05-17",158
"Eastern Cape","18-34","Female","2021-05-18",123
"Eastern Cape","18-34","Female","2021-05-19",187
"Eastern Cape","18-34","Female","2021-05-20",90
"Eastern Cape","18-34","Female","2021-05-21",70
"Eastern Cape","18-34","Female","2021-05-22",1
"Eastern Cape","18-34","Female","2021-05-23",2
"Eastern Cape","18-34","Female","2021-05-24",26
"Eastern Cape","18-34","Female","2021-05-25",30
"Eastern Cape","18-34","Female","2021-05-26",25
"Eastern Cape","18-34","Female","2021-05-27",27
"Eastern Cape","18-34","Female","2021-05-28",26
"Eastern Cape","18-34","Female","2021-05-29",1
"Eastern Cape","18-34","Female","2021-05-30",1
"Eastern Cape","18-34","Female","2021-05-31",26
"Eastern Cape","18-34","Female","2021-06-01",13
"Eastern Cape","18-34","Female","2021-06-02",22
"Eastern Cape","18-34","Female","2021-06-03",23
"Eastern Cape","18-34","Female","2021-06-04",29
"Eastern Cape","18-34","Female","2021-06-06",2
"Eastern Cape","18-34","Female","2021-06-07",70
"Eastern Cape","18-34","Female","2021-06-08",53
"Eastern Cape","18-34","Female","2021-06-09",63
"Eastern Cape","18-34","Female","2021-06-10",50
"Eastern Cape","18-34","Female","2021-06-11",62
"Eastern Cape","18-34","Female","2021-06-12",2
"Eastern Cape","18-34","Female","2021-06-13",1
"Eastern Cape","18-34","Female","2021-06-14",22
"Eastern Cape","18-34","Female","2021-06-15",19
"Eastern Cape","18-34","Female","2021-06-17",22
"Eastern Cape","18-34","Female","2021-06-18",38
"Eastern Cape","18-34","Female","2021-06-20",2
"Eastern Cape","18-34","Female","2021-06-21",59
"Eastern Cape","18-34","Female","2021-06-22",64
"Eastern Cape","18-34","Female","2021-06-23",552
"Eastern Cape","18-34","Female","2021-06-24",753
"Eastern Cape","18-34","Female","2021-06-25",626
"Eastern Cape","18-34","Female","2021-06-28",712
"Eastern Cape","18-34","Female","2021-06-29",510
"Eastern Cape","18-34","Female","2021-06-30",638
"Eastern Cape","18-34","Female","2021-07-01",586
"Eastern Cape","18-34","Female","2021-07-02",414
"Eastern Cape","18-34","Female","2021-07-03",5
"Eastern Cape","18-34","Female","2021-07-05",263
"Eastern Cape","18-34","Female","2021-07-06",316
"Eastern Cape","18-34","Female","2021-07-07",389
"Eastern Cape","18-34","Female","2021-07-08",401
"Eastern Cape","18-34","Female","2021-07-09",283
"Eastern Cape","18-34","Female","2021-07-10",1
"Eastern Cape","18-34","Female","2021-07-12",175
"Eastern Cape","18-34","Female","2021-07-13",174
"Eastern Cape","18-34","Female","2021-07-14",208
"Eastern Cape","18-34","Female","2021-07-15",100
"Eastern Cape","18-34","Female","2021-07-16",109
"Eastern Cape","18-34","Female","2021-07-17",8
"Eastern Cape","18-34","Female","2021-07-19",300
"Eastern Cape","18-34","Female","2021-07-20",302
"Eastern Cape","18-34","Female","2021-07-21",260
"Eastern Cape","18-34","Female","2021-07-22",247
"Eastern Cape","18-34","Female","2021-07-23",206
"Eastern Cape","18-34","Female","2021-07-24",57
"Eastern Cape","18-34","Female","2021-07-25",25
"Eastern Cape","18-34","Female","2021-07-26",189
"Eastern Cape","18-34","Female","2021-07-27",281
"Eastern Cape","18-34","Female","2021-07-28",181
"Eastern Cape","18-34","Female","2021-07-29",158
"Eastern Cape","18-34","Female","2021-07-30",132
"Eastern Cape","18-34","Female","2021-07-31",11
"Eastern Cape","18-34","Female","2021-08-01",6
"Eastern Cape","18-34","Female","2021-08-02",63
"Eastern Cape","18-34","Female","2021-08-03",78
"Eastern Cape","18-34","Female","2021-08-04",89
"Eastern Cape","18-34","Female","2021-08-05",68
"Eastern Cape","18-34","Female","2021-08-06",59
"Eastern Cape","18-34","Female","2021-08-07",9
"Eastern Cape","18-34","Female","2021-08-08",0
"Eastern Cape","18-34","Female","2021-08-09",7
"Eastern Cape","18-34","Female","2021-08-10",55
"Eastern Cape","18-34","Female","2021-08-11",74
"Eastern Cape","18-34","Female","2021-08-12",69
"Eastern Cape","18-34","Female","2021-08-13",86
"Eastern Cape","18-34","Female","2021-08-14",5
"Eastern Cape","18-34","Female","2021-08-16",47
"Eastern Cape","18-34","Female","2021-08-17",49
"Eastern Cape","18-34","Female","2021-08-18",52
"Eastern Cape","18-34","Female","2021-08-19",55
"Eastern Cape","18-34","Female","2021-08-20",2459
"Eastern Cape","18-34","Female","2021-08-21",539
"Eastern Cape","18-34","Female","2021-08-22",193
"Eastern Cape","18-34","Female","2021-08-23",3714
"Eastern Cape","18-34","Female","2021-08-24",4864
"Eastern Cape","18-34","Female","2021-08-25",4944
"Eastern Cape","18-34","Female","2021-08-26",4684
"Eastern Cape","18-34","Female","2021-08-27",4009
"Eastern Cape","18-34","Female","2021-08-28",624
"Eastern Cape","18-34","Female","2021-08-29",358
"Eastern Cape","18-34","Female","2021-08-30",4175
"Eastern Cape","18-34","Female","2021-08-31",4311
"Eastern Cape","18-34","Female","2021-09-01",4631
"Eastern Cape","18-34","Female","2021-09-02",4877
"Eastern Cape","18-34","Female","2021-09-03",3761
"Eastern Cape","18-34","Female","2021-09-04",891
"Eastern Cape","18-34","Female","2021-09-05",551
"Eastern Cape","18-34","Female","2021-09-06",3040
"Eastern Cape","18-34","Female","2021-09-07",3053
"Eastern Cape","18-34","Female","2021-09-08",4641
"Eastern Cape","18-34","Female","2021-09-09",5026
"Eastern Cape","18-34","Female","2021-09-10",3777
"Eastern Cape","18-34","Female","2021-09-11",800
"Eastern Cape","18-34","Female","2021-09-12",303
"Eastern Cape","18-34","Female","2021-09-13",4255
"Eastern Cape","18-34","Female","2021-09-14",5009
"Eastern Cape","18-34","Female","2021-09-15",5123
"Eastern Cape","18-34","Female","2021-09-16",4292
"Eastern Cape","18-34","Female","2021-09-17",2964
"Eastern Cape","18-34","Female","2021-09-18",662
"Eastern Cape","18-34","Female","2021-09-19",320
"Eastern Cape","18-34","Female","2021-09-20",4432
"Eastern Cape","18-34","Female","2021-09-21",4510
"Eastern Cape","18-34","Female","2021-09-22",5145
"Eastern Cape","18-34","Female","2021-09-23",4127
"Eastern Cape","18-34","Female","2021-09-24",426
"Eastern Cape","18-34","Female","2021-09-25",520
"Eastern Cape","18-34","Female","2021-09-26",226
"Eastern Cape","18-34","Female","2021-09-27",3930
"Eastern Cape","18-34","Female","2021-09-28",4407
"Eastern Cape","18-34","Female","2021-09-29",3908
"Eastern Cape","18-34","Female","2021-09-30",3085
"Eastern Cape","18-34","Female","2021-10-01",4378
"Eastern Cape","18-34","Female","2021-10-02",2545
"Eastern Cape","18-34","Female","2021-10-03",1776
"Eastern Cape","18-34","Female","2021-10-04",4293
"Eastern Cape","18-34","Female","2021-10-05",3872
"Eastern Cape","18-34","Female","2021-10-06",4625
"Eastern Cape","18-34","Female","2021-10-07",4534
"Eastern Cape","18-34","Female","2021-10-08",3860
"Eastern Cape","18-34","Female","2021-10-09",1022
"Eastern Cape","18-34","Female","2021-10-10",531
"Eastern Cape","18-34","Female","2021-10-11",4459
"Eastern Cape","18-34","Female","2021-10-12",4765
"Eastern Cape","18-34","Female","2021-10-13",5000
"Eastern Cape","18-34","Female","2021-10-14",4930
"Eastern Cape","18-34","Female","2021-10-15",3951
"Eastern Cape","18-34","Female","2021-10-16",1158
"Eastern Cape","18-34","Female","2021-10-17",430
"Eastern Cape","18-34","Female","2021-10-18",3753
"Eastern Cape","18-34","Female","2021-10-19",4231
"Eastern Cape","18-34","Female","2021-10-20",4422
"Eastern Cape","18-34","Female","2021-10-21",4493
"Eastern Cape","18-34","Female","2021-10-22",3320
"Eastern Cape","18-34","Female","2021-10-23",1173
"Eastern Cape","18-34","Female","2021-10-24",420
"Eastern Cape","18-34","Female","2021-10-25",3688
"Eastern Cape","18-34","Female","2021-10-26",4009
"Eastern Cape","18-34","Female","2021-10-27",3214
"Eastern Cape","18-34","Female","2021-10-28",3298
"Eastern Cape","18-34","Female","2021-10-29",2335
"Eastern Cape","18-34","Female","2021-10-30",627
"Eastern Cape","18-34","Female","2021-10-31",244
"Eastern Cape","18-34","Female","2021-11-01",1316
"Eastern Cape","18-34","Female","2021-11-02",2571
"Eastern Cape","18-34","Female","2021-11-03",2675
"Eastern Cape","18-34","Female","2021-11-04",2818
"Eastern Cape","18-34","Female","2021-11-05",2353
"Eastern Cape","18-34","Female","2021-11-06",456
"Eastern Cape","18-34","Female","2021-11-07",172
"Eastern Cape","18-34","Female","2021-11-08",1279
"Eastern Cape","18-34","Female","2021-11-09",1762
"Eastern Cape","18-34","Female","2021-11-10",2674
"Eastern Cape","18-34","Female","2021-11-11",2573
"Eastern Cape","18-34","Female","2021-11-12",1958
"Eastern Cape","18-34","Female","2021-11-13",1069
"Eastern Cape","18-34","Female","2021-11-14",821
"Eastern Cape","18-34","Female","2021-11-15",2108
"Eastern Cape","18-34","Female","2021-11-16",2310
"Eastern Cape","18-34","Female","2021-11-17",2008
"Eastern Cape","18-34","Female","2021-11-18",1800
"Eastern Cape","18-34","Female","2021-11-19",1614
"Eastern Cape","18-34","Female","2021-11-20",293
"Eastern Cape","18-34","Female","2021-11-21",115
"Eastern Cape","18-34","Female","2021-11-22",1822
"Eastern Cape","18-34","Female","2021-11-23",1610
"Eastern Cape","18-34","Female","2021-11-24",1888
"Eastern Cape","18-34","Female","2021-11-25",1783
"Eastern Cape","18-34","Female","2021-11-26",1320
"Eastern Cape","18-34","Female","2021-11-27",329
"Eastern Cape","18-34","Female","2021-11-28",128
"Eastern Cape","18-34","Female","2021-11-29",2856
"Eastern Cape","18-34","Female","2021-11-30",2891
"Eastern Cape","18-34","Female","2021-12-01",2416
