"province","vaccine_manufacturer","vaccination_date","total_number_individuals_vaccinated"
"Eastern Cape","Johnson & Johnson","2021-02-17",5
"Eastern Cape","Johnson & Johnson","2021-02-18",93
"Eastern Cape","Johnson & Johnson","2021-02-19",233
"Eastern Cape","Johnson & Johnson","2021-02-21",239
"Eastern Cape","Johnson & Johnson","2021-02-22",319
"Eastern Cape","Johnson & Johnson","2021-02-23",813
"Eastern Cape","Johnson & Johnson","2021-02-24",920
"Eastern Cape","Johnson & Johnson","2021-02-25",929
"Eastern Cape","Johnson & Johnson","2021-02-26",788
"Eastern Cape","Johnson & Johnson","2021-02-27",176
"Eastern Cape","Johnson & Johnson","2021-02-28",195
"Eastern Cape","Johnson & Johnson","2021-03-01",103
"Eastern Cape","Johnson & Johnson","2021-03-02",250
"Eastern Cape","Johnson & Johnson","2021-03-03",652
"Eastern Cape","Johnson & Johnson","2021-03-04",832
"Eastern Cape","Johnson & Johnson","2021-03-05",702
"Eastern Cape","Johnson & Johnson","2021-03-08",410
"Eastern Cape","Johnson & Johnson","2021-03-09",1301
"Eastern Cape","Johnson & Johnson","2021-03-10",1038
"Eastern Cape","Johnson & Johnson","2021-03-11",753
"Eastern Cape","Johnson & Johnson","2021-03-12",533
"Eastern Cape","Johnson & Johnson","2021-03-15",728
"Eastern Cape","Johnson & Johnson","2021-03-16",946
"Eastern Cape","Johnson & Johnson","2021-03-17",1024
"Eastern Cape","Johnson & Johnson","2021-03-18",1469
"Eastern Cape","Johnson & Johnson","2021-03-19",1385
"Eastern Cape","Johnson & Johnson","2021-03-20",1
"Eastern Cape","Johnson & Johnson","2021-03-22",2
"Eastern Cape","Johnson & Johnson","2021-03-23",1476
"Eastern Cape","Johnson & Johnson","2021-03-24",1292
"Eastern Cape","Johnson & Johnson","2021-03-25",1595
"Eastern Cape","Johnson & Johnson","2021-03-26",1563
"Eastern Cape","Johnson & Johnson","2021-03-29",1571
"Eastern Cape","Johnson & Johnson","2021-03-30",1572
"Eastern Cape","Johnson & Johnson","2021-03-31",1806
"Eastern Cape","Johnson & Johnson","2021-04-01",1066
"Eastern Cape","Johnson & Johnson","2021-04-06",1044
"Eastern Cape","Johnson & Johnson","2021-04-07",1151
"Eastern Cape","Johnson & Johnson","2021-04-08",1173
"Eastern Cape","Johnson & Johnson","2021-04-09",1271
"Eastern Cape","Johnson & Johnson","2021-04-11",1
"Eastern Cape","Johnson & Johnson","2021-04-12",1060
"Eastern Cape","Johnson & Johnson","2021-04-13",770
"Eastern Cape","Johnson & Johnson","2021-04-21",1
"Eastern Cape","Johnson & Johnson","2021-04-28",688
"Eastern Cape","Johnson & Johnson","2021-04-29",713
"Eastern Cape","Johnson & Johnson","2021-04-30",540
"Eastern Cape","Johnson & Johnson","2021-05-03",586
"Eastern Cape","Johnson & Johnson","2021-05-04",906
"Eastern Cape","Johnson & Johnson","2021-05-05",1450
"Eastern Cape","Johnson & Johnson","2021-05-06",1783
"Eastern Cape","Johnson & Johnson","2021-05-07",1840
"Eastern Cape","Johnson & Johnson","2021-05-09",1
"Eastern Cape","Johnson & Johnson","2021-05-10",2146
"Eastern Cape","Johnson & Johnson","2021-05-11",2409
"Eastern Cape","Johnson & Johnson","2021-05-12",2826
"Eastern Cape","Johnson & Johnson","2021-05-13",2729
"Eastern Cape","Johnson & Johnson","2021-05-14",3475
"Eastern Cape","Johnson & Johnson","2021-05-15",120
"Eastern Cape","Johnson & Johnson","2021-05-16",18
"Eastern Cape","Johnson & Johnson","2021-05-17",716
"Eastern Cape","Johnson & Johnson","2021-05-18",415
"Eastern Cape","Johnson & Johnson","2021-05-19",661
"Eastern Cape","Johnson & Johnson","2021-05-20",279
"Eastern Cape","Johnson & Johnson","2021-05-21",126
"Eastern Cape","Johnson & Johnson","2021-05-23",1
"Eastern Cape","Johnson & Johnson","2021-05-27",1
"Eastern Cape","Johnson & Johnson","2021-05-28",129
"Eastern Cape","Johnson & Johnson","2021-05-31",2
"Eastern Cape","Johnson & Johnson","2021-06-08",1
"Eastern Cape","Johnson & Johnson","2021-06-15",2
"Eastern Cape","Johnson & Johnson","2021-06-17",1
"Eastern Cape","Johnson & Johnson","2021-06-21",2
"Eastern Cape","Johnson & Johnson","2021-06-23",7392
"Eastern Cape","Johnson & Johnson","2021-06-24",9582
"Eastern Cape","Johnson & Johnson","2021-06-25",7617
"Eastern Cape","Johnson & Johnson","2021-06-26",4
"Eastern Cape","Johnson & Johnson","2021-06-27",8
"Eastern Cape","Johnson & Johnson","2021-06-28",7598
"Eastern Cape","Johnson & Johnson","2021-06-29",4818
"Eastern Cape","Johnson & Johnson","2021-06-30",6346
"Eastern Cape","Johnson & Johnson","2021-07-01",4914
"Eastern Cape","Johnson & Johnson","2021-07-02",2523
"Eastern Cape","Johnson & Johnson","2021-07-03",3
"Eastern Cape","Johnson & Johnson","2021-07-04",2
"Eastern Cape","Johnson & Johnson","2021-07-05",1564
"Eastern Cape","Johnson & Johnson","2021-07-06",1819
"Eastern Cape","Johnson & Johnson","2021-07-07",2095
"Eastern Cape","Johnson & Johnson","2021-07-08",1776
"Eastern Cape","Johnson & Johnson","2021-07-09",1105
"Eastern Cape","Johnson & Johnson","2021-07-11",3
"Eastern Cape","Johnson & Johnson","2021-07-12",698
"Eastern Cape","Johnson & Johnson","2021-07-13",1238
"Eastern Cape","Johnson & Johnson","2021-07-14",1422
