"province","health_sector","vaccination_date","total_number_vaccines_administered"
"Free State","Public Health","2021-10-28",3524
"Mpumalanga","Private Health","2021-07-30",26
"Mpumalanga","Public Health","2021-12-09",3736
"Gauteng","Public Health","2021-10-10",1203
"Gauteng","Public Health","2021-10-27",3651
"KwaZulu-Natal","Public Health","2021-06-04",2
"North West","Public Health","2021-12-12",1033
"Northern Cape","Private Health","2021-09-17",57
"Northern Cape","Private Health","2021-09-30",56
"Gauteng","Private Health","2021-05-03",1835
"Limpopo","Public Health","2021-03-16",776
"KwaZulu-Natal","Public Health","2021-11-29",4715
"KwaZulu-Natal","Public Health","2021-08-29",1124
"Northern Cape","Public Health","2021-10-02",1083
"Free State","Private Health","2021-10-28",244
"KwaZulu-Natal","Private Health","2021-11-11",86
"Eastern Cape","Public Health","2021-11-05",4982
"Gauteng","Private Health","2021-09-20",2154
"Western Cape","Private Health","2021-11-24",379
"Western Cape","Private Health","2021-08-14",28
"Mpumalanga","Public Health","2021-08-31",4710
"Northern Cape","Public Health","2021-11-13",1124
"Eastern Cape","Public Health","2021-04-08",1105
"Northern Cape","Public Health","2021-10-04",1072
"KwaZulu-Natal","Public Health","2021-09-12",878
"Western Cape","Public Health","2021-03-24",2078
"Northern Cape","Public Health","2021-07-08",351
"Northern Cape","Public Health","2021-08-07",636
"Western Cape","Public Health","2021-07-26",4530
"Gauteng","Public Health","2021-10-26",3547
"KwaZulu-Natal","Private Health","2021-07-31",132
"Western Cape","Private Health","2021-06-16",4
"Western Cape","Private Health","2021-11-17",291
"North West","Private Health","2021-10-30",33
"Free State","Public Health","2021-03-31",670
"Free State","Private Health","2021-08-26",326
"Free State","Private Health","2021-07-22",145
"Gauteng","Public Health","2021-07-21",6538
"KwaZulu-Natal","Public Health","2021-10-24",1586
"KwaZulu-Natal","Public Health","2021-09-28",5764
"KwaZulu-Natal","Private Health","2021-05-03",1527
"KwaZulu-Natal","Private Health","2021-07-23",904
"Free State","Private Health","2021-11-25",185
"Free State","Public Health","2021-09-08",2991
"KwaZulu-Natal","Public Health","2021-08-26",10659
"Northern Cape","Public Health","2021-08-25",1030
"Gauteng","Private Health","2021-09-08",3126
"Limpopo","Private Health","2021-11-30",795
"Western Cape","Private Health","2021-06-29",5
"KwaZulu-Natal","Private Health","2021-09-27",348
"Northern Cape","Public Health","2021-09-27",256
"Western Cape","Public Health","2021-11-17",1984
"KwaZulu-Natal","Public Health","2021-11-20",2079
"Mpumalanga","Private Health","2021-10-21",692
"Limpopo","Private Health","2021-06-26",12
"Western Cape","Private Health","2021-07-24",11
"Eastern Cape","Public Health","2021-12-12",205
"Western Cape","Private Health","2021-03-31",495
"Gauteng","Private Health","2021-11-05",1560
"Northern Cape","Private Health","2021-12-15",78
"Mpumalanga","Private Health","2021-09-03",1133
"North West","Private Health","2021-11-26",139
"Gauteng","Public Health","2021-05-15",88
"Limpopo","Private Health","2021-06-28",2
"Mpumalanga","Private Health","2021-09-07",886
"Northern Cape","Private Health","2021-12-01",203
"Free State","Public Health","2021-03-01",590
"Western Cape","Public Health","2021-09-06",2956
"Eastern Cape","Private Health","2021-09-07",939
"Western Cape","Public Health","2021-08-12",6351
"Limpopo","Private Health","2021-08-07",12
"Northern Cape","Public Health","2021-10-17",236
"Mpumalanga","Private Health","2021-12-06",284
"North West","Private Health","2021-12-09",141
"Gauteng","Public Health","2021-12-11",2153
"Mpumalanga","Public Health","2021-03-29",118
"Free State","Public Health","2021-07-24",5
"Mpumalanga","Private Health","2021-12-05",2
"Mpumalanga","Private Health","2021-08-26",1089
"Limpopo","Private Health","2021-10-06",1151
"Gauteng","Private Health","2021-04-06",1
"Gauteng","Public Health","2021-06-15",37
"North West","Public Health","2021-08-17",1755
"Limpopo","Private Health","2021-06-23",1
"Northern Cape","Public Health","2021-07-15",238
"Limpopo","Public Health","2021-07-13",892
"Free State","Public Health","2021-10-15",3607
"Eastern Cape","Public Health","2021-05-12",2825
"Western Cape","Private Health","2021-07-30",456
"North West","Public Health","2021-09-20",5836
"Mpumalanga","Private Health","2021-09-06",839
"Free State","Private Health","2021-09-20",404
"Limpopo","Private Health","2021-10-25",1457
"Gauteng","Private Health","2021-09-12",66
"Mpumalanga","Private Health","2021-07-29",4
"KwaZulu-Natal","Private Health","2021-08-24",1077
"Gauteng","Public Health","2021-07-18",23
"KwaZulu-Natal","Public Health","2021-06-01",75
"Free State","Public Health","2021-09-02",2857
"Gauteng","Private Health","2021-09-14",2874
"Free State","Public Health","2021-08-12",1917
"Limpopo","Public Health","2021-09-07",50
"Mpumalanga","Private Health","2021-09-10",1435
"KwaZulu-Natal","Private Health","2021-08-09",17
"Eastern Cape","Public Health","2021-07-28",11061
"KwaZulu-Natal","Private Health","2021-08-22",21
"KwaZulu-Natal","Private Health","2021-10-31",35
"Gauteng","Private Health","2021-07-05",1806
"Mpumalanga","Private Health","2021-08-03",51
"Western Cape","Public Health","2021-11-25",2445
"Mpumalanga","Public Health","2021-07-05",1903
"Limpopo","Public Health","2021-06-25",16299
"Mpumalanga","Public Health","2021-07-20",1667
"Limpopo","Public Health","2021-10-23",612
"Northern Cape","Public Health","2021-07-16",237
"Free State","Public Health","2021-09-25",728
"Gauteng","Private Health","2021-07-23",1547
"Mpumalanga","Private Health","2021-11-12",296
"Northern Cape","Public Health","2021-08-30",973
"Eastern Cape","Private Health","2021-07-06",13
"Gauteng","Private Health","2021-08-14",136
"Northern Cape","Public Health","2021-11-22",603
"North West","Public Health","2021-07-18",824
"Mpumalanga","Private Health","2021-12-04",68
"Gauteng","Private Health","2021-07-30",1816
"North West","Private Health","2021-12-08",219
"Mpumalanga","Public Health","2021-09-19",18
"Free State","Public Health","2021-05-05",313
"Gauteng","Public Health","2021-11-16",4048
"North West","Public Health","2021-07-14",1604
"KwaZulu-Natal","Public Health","2021-03-17",1133
"Gauteng","Private Health","2021-02-23",480
"Limpopo","Private Health","2021-03-12",335
"Limpopo","Private Health","2021-08-24",1770
"KwaZulu-Natal","Public Health","2021-10-18",5129
"North West","Public Health","2021-10-22",5757
"North West","Public Health","2021-08-01",645
"KwaZulu-Natal","Private Health","2021-03-30",1196
"Eastern Cape","Public Health","2021-08-16",4420
"Western Cape","Public Health","2021-08-21",3034
"Northern Cape","Private Health","2021-08-10",13
"Gauteng","Public Health","2021-08-06",10876
"Gauteng","Public Health","2021-11-17",4398
"Western Cape","Public Health","2021-10-19",4744
"Northern Cape","Private Health","2021-12-11",27
"Gauteng","Private Health","2021-11-19",1166
"North West","Public Health","2021-12-05",1414
"KwaZulu-Natal","Public Health","2021-08-10",9825
"Gauteng","Private Health","2021-07-12",1108
"North West","Public Health","2021-02-24",1153
"Limpopo","Public Health","2021-11-27",924
"KwaZulu-Natal","Public Health","2021-12-04",1670
"Western Cape","Private Health","2021-07-16",722
"Mpumalanga","Private Health","2021-07-22",37
"Gauteng","Public Health","2021-06-21",186
"Free State","Public Health","2021-11-19",2392
"Northern Cape","Private Health","2021-12-10",154
"Northern Cape","Public Health","2021-09-05",147
"Limpopo","Public Health","2021-02-25",1288
"Gauteng","Private Health","2021-06-18",1
"Northern Cape","Public Health","2021-10-29",1207
"Western Cape","Private Health","2021-09-09",1597
"Gauteng","Private Health","2021-05-21",6
"Eastern Cape","Private Health","2021-11-11",362
"Gauteng","Private Health","2021-03-09",981
"Mpumalanga","Private Health","2021-07-27",1
"Gauteng","Public Health","2021-10-02",8035
"Eastern Cape","Public Health","2021-09-07",3475
"Eastern Cape","Public Health","2021-03-02",250
"Mpumalanga","Private Health","2021-11-03",303
"Gauteng","Public Health","2021-03-27",278
"Western Cape","Public Health","2021-10-01",2007
"Free State","Private Health","2021-07-21",165
"KwaZulu-Natal","Private Health","2021-09-21",415
"Northern Cape","Public Health","2021-09-28",1145
"Western Cape","Public Health","2021-02-18",293
"Gauteng","Public Health","2021-09-07",5256
"Gauteng","Private Health","2021-05-10",1053
"North West","Public Health","2021-08-08",150
"Western Cape","Private Health","2021-08-31",1676
"Gauteng","Public Health","2021-06-25",9796
"Western Cape","Public Health","2021-05-31",76
"Western Cape","Private Health","2021-02-17",1
"Eastern Cape","Private Health","2021-08-13",1113
"KwaZulu-Natal","Public Health","2021-04-26",1
"Mpumalanga","Public Health","2021-11-09",4298
"KwaZulu-Natal","Public Health","2021-07-05",2743
"KwaZulu-Natal","Public Health","2021-10-04",5432
"Limpopo","Public Health","2021-08-02",2591
"North West","Private Health","2021-07-27",249
"Eastern Cape","Private Health","2021-05-04",71
"North West","Public Health","2021-07-02",1087
"Free State","Public Health","2021-03-15",619
"Gauteng","Public Health","2021-12-05",2835
"Limpopo","Private Health","2021-08-01",2
"Mpumalanga","Private Health","2021-08-05",68
"Gauteng","Public Health","2021-03-29",1330
"Gauteng","Public Health","2021-11-28",643
"Western Cape","Public Health","2021-05-14",2908
"Limpopo","Private Health","2021-11-17",495
"Gauteng","Public Health","2021-08-11",11461
"North West","Private Health","2021-09-25",5
"Limpopo","Public Health","2021-05-07",940
"Western Cape","Public Health","2021-10-16",1031
"KwaZulu-Natal","Private Health","2021-10-13",225
"KwaZulu-Natal","Public Health","2021-05-10",1709
"Gauteng","Public Health","2021-02-17",32
"North West","Public Health","2021-12-09",2615
"KwaZulu-Natal","Public Health","2021-10-17",1965
"Free State","Public Health","2021-08-22",4
"North West","Public Health","2021-11-16",2951
"Eastern Cape","Private Health","2021-05-05",66
