"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","796"
"eastern cape","Public Health","7569"
"free state","Private Health","628"
"free state","Public Health","3319"
"gauteng","Private Health","4788"
"gauteng","Public Health","7788"
"kwazulu-natal","Private Health","941"
"kwazulu-natal","Public Health","6474"
"limpopo","Private Health","958"
"limpopo","Public Health","5223"
"mpumalanga","Private Health","378"
"mpumalanga","Public Health","4030"
"northern cape","Private Health","163"
"northern cape","Public Health","826"
"north west","Private Health","770"
"north west","Public Health","3077"
"western cape","Private Health","2064"
"western cape","Public Health","2955"
