"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","713","0","1458","2171"
"Janssen Vaccines & Prevention B.V","free state","Adults","464","0","767","1231"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1507","0","1396","2903"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","811","0","1139","1950"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","771","0","1556","2327"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","893","0","896","1789"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","151","0","236","387"
"Janssen Vaccines & Prevention B.V","north west","Adults","546","0","712","1258"
"Janssen Vaccines & Prevention B.V","western cape","Adults","455","0","648","1103"
"Pfizer","eastern cape","12-17 Years","1833","1649","0","3482"
"Pfizer","eastern cape","Adults","595","890","1906","3391"
"Pfizer","free state","12-17 Years","619","1022","0","1641"
"Pfizer","free state","Adults","392","532","1363","2287"
"Pfizer","gauteng","12-17 Years","1216","1792","0","3008"
"Pfizer","gauteng","Adults","1987","2949","5522","10458"
"Pfizer","kwazulu-natal","12-17 Years","757","1167","0","1924"
"Pfizer","kwazulu-natal","Adults","868","1353","1833","4054"
"Pfizer","limpopo","12-17 Years","869","882","0","1751"
"Pfizer","limpopo","Adults","477","797","1667","2941"
"Pfizer","mpumalanga","12-17 Years","1174","354","0","1528"
"Pfizer","mpumalanga","Adults","398","432","924","1754"
"Pfizer","northern cape","12-17 Years","282","58","0","340"
"Pfizer","northern cape","Adults","139","140","345","624"
"Pfizer","north west","12-17 Years","452","581","0","1033"
"Pfizer","north west","Adults","399","664","1083","2146"
"Pfizer","western cape","12-17 Years","167","235","0","402"
"Pfizer","western cape","Adults","531","838","3306","4675"
