"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","833800","0","99981","933781"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","452097","0","65395","517492"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1352896","0","158616","1511512"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1103440","0","125976","1229416"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1021539","0","102828","1124367"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","768845","0","82391","851236"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","200339","0","20256","220595"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","675865","0","86053","761918"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","639855","0","89106","728961"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60853","0","24220","85073"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137282","0","65372","202654"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94473","0","40019","134492"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34178","0","17016","51194"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21885","0","7150","29035"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23463","0","8964","32427"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94514","0","61528","156042"
"Pfizer","National","eastern cape","Adults","1306453","1089171","170547","2566171"
"Pfizer","National","eastern cape","12-17 Years","251654","65393","0","317047"
"Pfizer","National","free state","12-17 Years","163030","64466","0","227496"
"Pfizer","National","free state","Adults","656688","572273","105398","1334359"
"Pfizer","National","gauteng","12-17 Years","372950","144963","6","517919"
"Pfizer","National","gauteng","Adults","3829875","3299132","560597","7689604"
"Pfizer","National","kwazulu-natal","Adults","1914832","1579897","260356","3755085"
"Pfizer","National","kwazulu-natal","12-17 Years","248286","84721","4","333011"
"Pfizer","National","limpopo","Adults","1016852","851299","131257","1999408"
"Pfizer","National","limpopo","12-17 Years","239900","68218","0","308118"
"Pfizer","National","mpumalanga","12-17 Years","130718","33849","0","164567"
"Pfizer","National","mpumalanga","Adults","552835","452383","76614","1081832"
"Pfizer","National","northern cape","12-17 Years","27089","8000","0","35089"
"Pfizer","National","northern cape","Adults","218770","186353","25653","430776"
"Pfizer","National","north west","12-17 Years","146157","43203","0","189360"
"Pfizer","National","north west","Adults","607267","523475","89279","1220021"
"Pfizer","National","western cape","12-17 Years","130326","48808","1","179135"
"Pfizer","National","western cape","Adults","2091699","1830413","415809","4337921"
