"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","895462"
"Janssen Vaccines & Prevention B.V","free state","Adults","476904"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1491691"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1198960"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1056601"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","791813"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209942"
"Janssen Vaccines & Prevention B.V","north west","Adults","699934"
"Janssen Vaccines & Prevention B.V","western cape","Adults","734837"
"Pfizer","eastern cape","12-17 Years","66741"
"Pfizer","eastern cape","Adults","1090193"
"Pfizer","free state","12-17 Years","64944"
"Pfizer","free state","Adults","572746"
"Pfizer","gauteng","12-17 Years","146535"
"Pfizer","gauteng","Adults","3301546"
"Pfizer","kwazulu-natal","12-17 Years","86449"
"Pfizer","kwazulu-natal","Adults","1581449"
"Pfizer","limpopo","12-17 Years","69249"
"Pfizer","limpopo","Adults","852198"
"Pfizer","mpumalanga","12-17 Years","34453"
"Pfizer","mpumalanga","Adults","452803"
"Pfizer","northern cape","12-17 Years","8108"
"Pfizer","northern cape","Adults","186529"
"Pfizer","north west","12-17 Years","43600"
"Pfizer","north west","Adults","524020"
"Pfizer","western cape","12-17 Years","48884"
"Pfizer","western cape","Adults","1831311"
