"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","147776","46241","416942"
"EASTERN CAPE","12-17","Male","120022","31722","429096"
"FREE STATE","12-17","Female","90834","40335","161705"
"FREE STATE","12-17","Male","76935","29747","162847"
"GAUTENG","12-17","Female","210713","88351","649047"
"GAUTENG","12-17","Male","172805","67889","648920"
"KWAZULU-NATAL","12-17","Female","156796","59989","647510"
"KWAZULU-NATAL","12-17","Male","109914","38032","658202"
"LIMPOPO","12-17","Female","138014","43797","352420"
"LIMPOPO","12-17","Male","115834","32304","372427"
"MPUMALANGA","12-17","Female","74954","22017","257710"
"MPUMALANGA","12-17","Male","62518","15917","259479"
"NORTHERN CAPE","12-17","Female","16897","5177","69852"
"NORTHERN CAPE","12-17","Male","13577","3834","69047"
"NORTH WEST","12-17","Female","82186","27168","221385"
"NORTH WEST","12-17","Male","68096","19668","223092"
"WESTERN CAPE","12-17","Female","70610","27241","320269"
"WESTERN CAPE","12-17","Male","60095","22659","322848"
