"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","528220"
"kwazulu-natal","Private Health","1214647"
"western cape","Private Health","1886582"
"limpopo","Private Health","590689"
"northern cape","Public Health","576095"
"gauteng","Private Health","4476677"
"kwazulu-natal","Public Health","4474453"
"free state","Public Health","1801571"
"north west","Public Health","1745197"
"gauteng","Public Health","5700643"
"mpumalanga","Private Health","394229"
"mpumalanga","Public Health","1826322"
"northern cape","Private Health","154753"
"eastern cape","Private Health","679501"
"western cape","Public Health","3614208"
"limpopo","Public Health","3042039"
"free state","Private Health","391718"
"eastern cape","Public Health","3386884"
