"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","288"
"Janssen Vaccines & Prevention B.V","free state","Adults","123"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","604"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","334"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","179"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","491"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","63"
"Janssen Vaccines & Prevention B.V","north west","Adults","145"
"Janssen Vaccines & Prevention B.V","western cape","Adults","169"
"Pfizer","eastern cape","12-17 Years","138"
"Pfizer","eastern cape","Adults","435"
"Pfizer","free state","12-17 Years","154"
"Pfizer","free state","Adults","256"
"Pfizer","gauteng","12-17 Years","263"
"Pfizer","gauteng","Adults","1034"
"Pfizer","kwazulu-natal","12-17 Years","162"
"Pfizer","kwazulu-natal","Adults","571"
"Pfizer","limpopo","12-17 Years","187"
"Pfizer","limpopo","Adults","270"
"Pfizer","mpumalanga","12-17 Years","79"
"Pfizer","mpumalanga","Adults","230"
"Pfizer","northern cape","12-17 Years","27"
"Pfizer","northern cape","Adults","88"
"Pfizer","north west","12-17 Years","61"
"Pfizer","north west","Adults","166"
"Pfizer","western cape","12-17 Years","72"
"Pfizer","western cape","Adults","348"
