"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","162","0","287","449"
"Janssen Vaccines & Prevention B.V","free state","Adults","108","0","234","342"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","529","0","319","848"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","331","0","334","665"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","133","0","333","466"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","416","0","489","905"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","91","0","257","348"
"Janssen Vaccines & Prevention B.V","north west","Adults","133","0","202","335"
"Janssen Vaccines & Prevention B.V","western cape","Adults","134","0","140","274"
"Pfizer","eastern cape","12-17 Years","57","76","0","133"
"Pfizer","eastern cape","Adults","290","396","881","1567"
"Pfizer","free state","12-17 Years","31","54","0","85"
"Pfizer","free state","Adults","119","169","329","617"
"Pfizer","gauteng","12-17 Years","103","179","0","282"
"Pfizer","gauteng","Adults","531","703","851","2085"
"Pfizer","kwazulu-natal","12-17 Years","87","99","0","186"
"Pfizer","kwazulu-natal","Adults","569","571","553","1693"
"Pfizer","limpopo","12-17 Years","108","106","0","214"
"Pfizer","limpopo","Adults","144","231","336","711"
"Pfizer","mpumalanga","12-17 Years","65","51","0","116"
"Pfizer","mpumalanga","Adults","180","267","450","897"
"Pfizer","northern cape","12-17 Years","26","34","0","60"
"Pfizer","northern cape","Adults","110","115","147","372"
"Pfizer","north west","12-17 Years","18","32","0","50"
"Pfizer","north west","Adults","98","138","200","436"
"Pfizer","western cape","12-17 Years","43","47","0","90"
"Pfizer","western cape","Adults","206","253","526","985"
