"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","853095","0","137083","990178"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","461188","0","85153","546341"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1397962","0","192434","1590396"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1139362","0","166138","1305500"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1041754","0","137124","1178878"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","798107","0","111717","909824"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","204925","0","30336","235261"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","688077","0","105621","793698"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","653238","0","105177","758415"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60864","0","24220","85084"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24394","0","12199","36593"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137400","0","65383","202783"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94490","0","40022","134512"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34183","0","17016","51199"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21910","0","7150","29060"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23469","0","8964","32433"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94611","0","61527","156138"
"Pfizer","National","eastern cape","Adults","1330836","1118324","221781","2670941"
"Pfizer","National","eastern cape","12-17 Years","281765","95330","0","377095"
"Pfizer","National","free state","12-17 Years","172349","77670","0","250019"
"Pfizer","National","free state","Adults","670063","588182","130332","1388577"
"Pfizer","National","gauteng","12-17 Years","396264","169671","11","565946"
"Pfizer","National","gauteng","Adults","3894181","3372549","649345","7916075"
"Pfizer","National","kwazulu-natal","Adults","1968751","1635947","315413","3920111"
"Pfizer","National","kwazulu-natal","12-17 Years","295400","120773","8","416181"
"Pfizer","National","limpopo","Adults","1036999","872769","166091","2075859"
"Pfizer","National","limpopo","12-17 Years","284909","91667","0","376576"
"Pfizer","National","mpumalanga","12-17 Years","145796","46315","0","192111"
"Pfizer","National","mpumalanga","Adults","567961","468201","98320","1134482"
"Pfizer","National","northern cape","12-17 Years","34547","11655","0","46202"
"Pfizer","National","northern cape","Adults","224604","192082","33635","450321"
"Pfizer","National","north west","12-17 Years","154666","52525","4","207195"
"Pfizer","National","north west","Adults","619575","536787","107156","1263518"
"Pfizer","National","western cape","12-17 Years","131514","52413","2","183929"
"Pfizer","National","western cape","Adults","2114289","1856630","472000","4442919"
