"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","390246","839479"
"EASTERN CAPE","18-34","Male","293407","854468"
"EASTERN CAPE","35-49","Female","368664","586430"
"EASTERN CAPE","35-49","Male","250199","522727"
"EASTERN CAPE","50-59","Female","235647","320585"
"EASTERN CAPE","50-59","Male","148351","196960"
"EASTERN CAPE","60+","Female","362121","517296"
"EASTERN CAPE","60+","Male","217483","261598"
"EASTERN CAPE","Unidentified","Female","304",""
"EASTERN CAPE","Unidentified","Male","84",""
"FREE STATE","18-34","Female","230055","410210"
"FREE STATE","18-34","Male","175161","419145"
"FREE STATE","35-49","Female","193407","283918"
"FREE STATE","35-49","Male","159384","266941"
"FREE STATE","50-59","Female","104887","140470"
"FREE STATE","50-59","Male","81609","105617"
"FREE STATE","60+","Female","136068","178195"
"FREE STATE","60+","Male","85590","110025"
"FREE STATE","Unidentified","Female","87",""
"FREE STATE","Unidentified","Male","52",""
"GAUTENG","18-34","Female","985824","2584852"
"GAUTENG","18-34","Male","841630","2611302"
"GAUTENG","35-49","Female","994920","1659380"
"GAUTENG","35-49","Male","930406","1782603"
"GAUTENG","50-59","Female","439607","675158"
"GAUTENG","50-59","Male","419850","655342"
"GAUTENG","60+","Female","490111","745260"
"GAUTENG","60+","Male","374963","597429"
"GAUTENG","Unidentified","Female","298",""
"GAUTENG","Unidentified","Male","176",""
"KWAZULU-NATAL","18-34","Female","633145","1707989"
"KWAZULU-NATAL","18-34","Male","434819","1725158"
"KWAZULU-NATAL","35-49","Female","570605","1071255"
"KWAZULU-NATAL","35-49","Male","410443","951364"
"KWAZULU-NATAL","50-59","Female","299914","492136"
"KWAZULU-NATAL","50-59","Male","201584","316845"
"KWAZULU-NATAL","60+","Female","441170","624115"
"KWAZULU-NATAL","60+","Male","250434","330933"
"KWAZULU-NATAL","Unidentified","Female","369",""
"KWAZULU-NATAL","Unidentified","Male","139",""
"LIMPOPO","18-34","Female","426711","818804"
"LIMPOPO","18-34","Male","289599","833104"
"LIMPOPO","35-49","Female","373838","573264"
"LIMPOPO","35-49","Male","246974","493423"
"LIMPOPO","50-59","Female","198499","265501"
"LIMPOPO","50-59","Male","133078","165831"
"LIMPOPO","60+","Female","292903","372555"
"LIMPOPO","60+","Male","168991","173319"
"LIMPOPO","Unidentified","Female","611",""
"LIMPOPO","Unidentified","Male","88",""
"MPUMALANGA","18-34","Female","272685","681710"
"MPUMALANGA","18-34","Male","232038","729028"
"MPUMALANGA","35-49","Female","238571","451254"
"MPUMALANGA","35-49","Male","210324","457785"
"MPUMALANGA","50-59","Female","116965","197794"
"MPUMALANGA","50-59","Male","94914","151183"
"MPUMALANGA","60+","Female","142135","224305"
"MPUMALANGA","60+","Male","102527","146461"
"MPUMALANGA","Unidentified","Female","155",""
"MPUMALANGA","Unidentified","Male","56",""
"NORTHERN CAPE","18-34","Female","77913","174695"
"NORTHERN CAPE","18-34","Male","73689","182300"
"NORTHERN CAPE","35-49","Female","69071","118328"
"NORTHERN CAPE","35-49","Male","72820","131923"
"NORTHERN CAPE","50-59","Female","37110","57823"
"NORTHERN CAPE","50-59","Male","34496","49198"
"NORTHERN CAPE","60+","Female","45291","80820"
"NORTHERN CAPE","60+","Male","33688","52458"
"NORTHERN CAPE","Unidentified","Female","17",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","242364","547199"
"NORTH WEST","18-34","Male","200219","611287"
"NORTH WEST","35-49","Female","215311","386831"
"NORTH WEST","35-49","Male","215266","437698"
"NORTH WEST","50-59","Female","109072","173790"
"NORTH WEST","50-59","Male","108340","168889"
"NORTH WEST","60+","Female","142268","213393"
"NORTH WEST","60+","Male","107380","154160"
"NORTH WEST","Unidentified","Female","125",""
"NORTH WEST","Unidentified","Male","111",""
"WESTERN CAPE","18-34","Female","522574","1010156"
"WESTERN CAPE","18-34","Male","454272","1047625"
"WESTERN CAPE","35-49","Female","475674","744325"
"WESTERN CAPE","35-49","Male","418441","767488"
"WESTERN CAPE","50-59","Female","243678","368383"
"WESTERN CAPE","50-59","Male","211086","315766"
"WESTERN CAPE","60+","Female","317501","422288"
"WESTERN CAPE","60+","Male","235899","300872"
"WESTERN CAPE","Unidentified","Female","118",""
"WESTERN CAPE","Unidentified","Male","74",""
