"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919811"
"eastern cape","Pfizer","1348572"
"free state","Johnson & Johnson","488102"
"free state","Pfizer","678968"
"gauteng","Johnson & Johnson","1553890"
"gauteng","Pfizer","3927755"
"kwazulu-natal","Johnson & Johnson","1249661"
"kwazulu-natal","Pfizer","1995250"
"limpopo","Johnson & Johnson","1082818"
"limpopo","Pfizer","1049914"
"mpumalanga","Johnson & Johnson","832867"
"mpumalanga","Pfizer","578808"
"northern cape","Johnson & Johnson","216420"
"northern cape","Pfizer","227876"
"north west","Johnson & Johnson","715141"
"north west","Pfizer","626011"
"western cape","Johnson & Johnson","753305"
"western cape","Pfizer","2127266"
