"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10111","5044","15155"
"National","eastern cape","Private Health","Male","8567","3920","12487"
"National","eastern cape","Public Health","Female","150942","62266","213208"
"National","eastern cape","Public Health","Male","125021","45732","170753"
"National","free state","Private Health","Female","9083","4617","13700"
"National","free state","Private Health","Male","7508","3577","11085"
"National","free state","Public Health","Female","83018","40984","124002"
"National","free state","Public Health","Male","71158","30899","102057"
"National","gauteng","Private Health","Female","52410","29970","82380"
"National","gauteng","Private Health","Male","48170","25798","73968"
"National","gauteng","Public Health","Female","160288","65852","226140"
"National","gauteng","Public Health","Male","126998","48603","175601"
"National","kwazulu-natal","Private Health","Female","16541","9430","25971"
"National","kwazulu-natal","Private Health","Male","15075","8144","23219"
"National","kwazulu-natal","Public Health","Female","156578","72266","228844"
"National","kwazulu-natal","Public Health","Male","106897","44034","150931"
"National","limpopo","Private Health","Female","11751","5343","17094"
"National","limpopo","Private Health","Male","9119","3721","12840"
"National","limpopo","Public Health","Female","144799","51799","196598"
"National","limpopo","Public Health","Male","125042","38799","163841"
"National","mpumalanga","Private Health","Female","3868","1694","5562"
"National","mpumalanga","Private Health","Male","3390","1507","4897"
"National","mpumalanga","Public Health","Female","77512","29593","107105"
"National","mpumalanga","Public Health","Male","63775","20344","84119"
"National","northern cape","Private Health","Female","2085","1046","3131"
"National","northern cape","Private Health","Male","1912","815","2727"
"National","northern cape","Public Health","Female","18271","7544","25815"
"National","northern cape","Public Health","Male","14351","5542","19893"
"National","north west","Private Health","Female","5073","2395","7468"
"National","north west","Private Health","Male","4618","2022","6640"
"National","north west","Public Health","Female","77268","27836","105104"
"National","north west","Public Health","Male","64183","20432","84615"
"National","western cape","Private Health","Female","22854","12552","35406"
"National","western cape","Private Health","Male","20726","10882","31608"
"National","western cape","Public Health","Female","48388","16924","65312"
"National","western cape","Public Health","Male","40506","13911","54417"
