"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14173","4986","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12029","4117","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19098","10462","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","14948","7273","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8502","3083","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7535","2401","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11200","6453","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9453","4814","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13718","5359","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11247","3923","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17901","6724","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15121","4803","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26466","15710","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23433","12582","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4272","1187","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3500","797","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51755","21927","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42370","16803","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15418","6939","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12303","5240","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19672","10312","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16129","7807","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6765","2899","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4411","1802","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26329","12497","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22817","10592","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13363","7906","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10520","5748","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8909","4482","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5419","2487","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12743","5193","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8368","3186","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13289","5713","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8714","3185","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14140","5783","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10222","3813","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20520","10314","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","13030","5417","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14957","6357","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9232","3465","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15595","7020","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10518","4117","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24264","12900","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17432","8149","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36522","15277","81625"
