"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103151"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120069"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72240"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107738"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51489"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166203"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212507"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90987"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81357"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76116"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153694"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144840"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33435"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","329106"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","562639"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102909"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","469824"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108177"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80214"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","346557"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58832"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64085"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102917"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67840"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142127"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102892"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97664"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","97128"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98940"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","275622"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","245823"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","187347"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","245390"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","137039"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","417363"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189723"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232805"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","72015"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41931"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16383"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28293"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","59609"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","297929"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109491"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201300"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110617"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","435529"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121754"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6839"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","78240"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47551"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68741"
"Pfizer","eastern cape","Amathole DM","12-17 Years","10185"
"Pfizer","eastern cape","Amathole DM","Adults","149059"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","30988"
"Pfizer","eastern cape","A Nzo DM","Adults","104759"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","18271"
"Pfizer","eastern cape","Buffalo City MM","Adults","214659"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6414"
"Pfizer","eastern cape","C Hani DM","Adults","119104"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5480"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","56068"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14836"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","276642"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29937"
"Pfizer","eastern cape","O Tambo DM","Adults","137613"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11249"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93969"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9259"
"Pfizer","free state","Fezile Dabi DM","Adults","94059"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11514"
"Pfizer","free state","Lejweleputswa DM","Adults","154426"
"Pfizer","free state","Mangaung MM","12-17 Years","28375"
"Pfizer","free state","Mangaung MM","Adults","202148"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","29028"
"Pfizer","free state","T Mofutsanyana DM","Adults","138291"
"Pfizer","free state","Xhariep DM","12-17 Years","2006"
"Pfizer","free state","Xhariep DM","Adults","14321"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38472"
"Pfizer","gauteng","Ekurhuleni MM","Adults","809573"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","55265"
"Pfizer","gauteng","Johannesburg MM","Adults","1495620"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12051"
"Pfizer","gauteng","Sedibeng DM","Adults","155452"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44218"
"Pfizer","gauteng","Tshwane MM","Adults","732534"
"Pfizer","gauteng","West Rand DM","12-17 Years","18073"
"Pfizer","gauteng","West Rand DM","Adults","235376"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4681"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","50153"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","22925"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","771797"
"Pfizer","kwazulu-natal","Harry Gwala DM","12-17 Years","13631"
"Pfizer","kwazulu-natal","Harry Gwala DM","Adults","68471"
"Pfizer","kwazulu-natal","iLembe DM","12-17 Years","6922"
"Pfizer","kwazulu-natal","iLembe DM","Adults","99071"
"Pfizer","kwazulu-natal","King Cetshwayo DM","12-17 Years","8291"
"Pfizer","kwazulu-natal","King Cetshwayo DM","Adults","92915"
"Pfizer","kwazulu-natal","Ugu DM","12-17 Years","8854"
"Pfizer","kwazulu-natal","Ugu DM","Adults","134982"
"Pfizer","kwazulu-natal","uMgungundlovu DM","12-17 Years","9657"
"Pfizer","kwazulu-natal","uMgungundlovu DM","Adults","214165"
"Pfizer","kwazulu-natal","Umkhanyakude DM","12-17 Years","15691"
"Pfizer","kwazulu-natal","Umkhanyakude DM","Adults","59384"
"Pfizer","kwazulu-natal","Umzinyathi DM","12-17 Years","9746"
"Pfizer","kwazulu-natal","Umzinyathi DM","Adults","42938"
"Pfizer","kwazulu-natal","Uthukela DM","12-17 Years","11028"
"Pfizer","kwazulu-natal","Uthukela DM","Adults","57912"
"Pfizer","kwazulu-natal","Zululand DM","12-17 Years","20858"
"Pfizer","kwazulu-natal","Zululand DM","Adults","84728"
"Pfizer","limpopo","Capricorn DM","12-17 Years","27428"
"Pfizer","limpopo","Capricorn DM","Adults","194612"
"Pfizer","limpopo","Mopani DM","12-17 Years","22560"
"Pfizer","limpopo","Mopani DM","Adults","177236"
"Pfizer","limpopo","Sekhukhune DM","12-17 Years","18450"
"Pfizer","limpopo","Sekhukhune DM","Adults","144219"
"Pfizer","limpopo","Vhembe DM","12-17 Years","21481"
"Pfizer","limpopo","Vhembe DM","Adults","204962"
"Pfizer","limpopo","Waterberg DM","12-17 Years","12226"
"Pfizer","limpopo","Waterberg DM","Adults","171447"
"Pfizer","mpumalanga","Ehlanzeni DM","12-17 Years","33277"
"Pfizer","mpumalanga","Ehlanzeni DM","Adults","202876"
"Pfizer","mpumalanga","G Sibande DM","12-17 Years","10605"
"Pfizer","mpumalanga","G Sibande DM","Adults","138439"
"Pfizer","mpumalanga","Nkangala DM","12-17 Years","12102"
"Pfizer","mpumalanga","Nkangala DM","Adults","142424"
"Pfizer","northern cape","Frances Baard DM","12-17 Years","6523"
"Pfizer","northern cape","Frances Baard DM","Adults","69944"
"Pfizer","northern cape","J T Gaetsewe DM","12-17 Years","2476"
"Pfizer","northern cape","J T Gaetsewe DM","Adults","35798"
"Pfizer","northern cape","Namakwa DM","12-17 Years","1169"
"Pfizer","northern cape","Namakwa DM","Adults","26257"
"Pfizer","northern cape","Pixley ka Seme DM","12-17 Years","2732"
"Pfizer","northern cape","Pixley ka Seme DM","Adults","26121"
"Pfizer","northern cape","ZF Mgcawu DM","12-17 Years","2867"
"Pfizer","northern cape","ZF Mgcawu DM","Adults","38536"
"Pfizer","north west","Bojanala Platinum DM","12-17 Years","23518"
"Pfizer","north west","Bojanala Platinum DM","Adults","276692"
"Pfizer","north west","Dr K Kaunda DM","12-17 Years","8907"
"Pfizer","north west","Dr K Kaunda DM","Adults","138416"
"Pfizer","north west","Ngaka Modiri Molema DM","12-17 Years","12953"
"Pfizer","north west","Ngaka Modiri Molema DM","Adults","96117"
"Pfizer","north west","Ruth Segomotsi Mompati DM","12-17 Years","7007"
"Pfizer","north west","Ruth Segomotsi Mompati DM","Adults","35288"
"Pfizer","western cape","Cape Town MM","12-17 Years","36911"
"Pfizer","western cape","Cape Town MM","Adults","1308729"
"Pfizer","western cape","Cape Winelands DM","12-17 Years","7516"
"Pfizer","western cape","Cape Winelands DM","Adults","235661"
"Pfizer","western cape","Central Karoo DM","12-17 Years","660"
"Pfizer","western cape","Central Karoo DM","Adults","14512"
"Pfizer","western cape","Garden Route DM","12-17 Years","4530"
"Pfizer","western cape","Garden Route DM","Adults","148842"
"Pfizer","western cape","Overberg DM","12-17 Years","1777"
"Pfizer","western cape","Overberg DM","Adults","79856"
"Pfizer","western cape","West Coast DM","12-17 Years","3313"
"Pfizer","western cape","West Coast DM","Adults","90297"
