"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","154","36","190"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14403","5567","19970"
"National","eastern cape","Amathole DM","Public Health","Male","12382","4568","16950"
"National","eastern cape","A Nzo DM","Public Health","Female","32644","17633","50277"
"National","eastern cape","A Nzo DM","Public Health","Male","28993","13767","42760"
"National","eastern cape","Buffalo City MM","Private Health","Female","2765","1133","3898"
"National","eastern cape","Buffalo City MM","Private Health","Male","2261","873","3134"
"National","eastern cape","Buffalo City MM","Public Health","Female","16339","9482","25821"
"National","eastern cape","Buffalo City MM","Public Health","Male","12996","6716","19712"
"National","eastern cape","C Hani DM","Private Health","Female","217","105","322"
"National","eastern cape","C Hani DM","Private Health","Male","153","73","226"
"National","eastern cape","C Hani DM","Public Health","Female","13577","3576","17153"
"National","eastern cape","C Hani DM","Public Health","Male","10956","2614","13570"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","643","357","1000"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","481","215","696"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7737","2697","10434"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6899","2176","9075"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","3972","2004","5976"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3600","1679","5279"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15633","6438","22071"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12195","4576","16771"
"National","eastern cape","O Tambo DM","Private Health","Female","300","116","416"
"National","eastern cape","O Tambo DM","Private Health","Male","238","111","349"
"National","eastern cape","O Tambo DM","Public Health","Female","43380","17056","60436"
"National","eastern cape","O Tambo DM","Public Health","Male","36588","12807","49395"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1532","1059","2591"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1333","803","2136"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9508","5332","14840"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","7995","3985","11980"
"National","free state","Fezile Dabi DM","Private Health","Female","467","338","805"
"National","free state","Fezile Dabi DM","Private Health","Male","438","276","714"
"National","free state","Fezile Dabi DM","Public Health","Female","12988","4979","17967"
"National","free state","Fezile Dabi DM","Public Health","Male","10673","3618","14291"
"National","free state","Lejweleputswa DM","Private Health","Female","3669","1417","5086"
"National","free state","Lejweleputswa DM","Private Health","Male","2942","1074","4016"
"National","free state","Lejweleputswa DM","Public Health","Female","13859","5222","19081"
"National","free state","Lejweleputswa DM","Public Health","Male","11908","3703","15611"
"National","free state","Mangaung MM","Private Health","Female","2918","1993","4911"
"National","free state","Mangaung MM","Private Health","Male","2412","1523","3935"
"National","free state","Mangaung MM","Public Health","Female","23062","13724","36786"
"National","free state","Mangaung MM","Public Health","Male","20635","11112","31747"
"National","free state","T Mofutsanyana DM","Private Health","Female","1800","1106","2906"
"National","free state","T Mofutsanyana DM","Private Health","Male","1551","899","2450"
"National","free state","T Mofutsanyana DM","Public Health","Female","26382","15261","41643"
"National","free state","T Mofutsanyana DM","Public Health","Male","22700","11547","34247"
"National","free state","Xhariep DM","Public Health","Female","4180","1180","5360"
"National","free state","Xhariep DM","Public Health","Male","3431","806","4237"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10553","6439","16992"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9744","5523","15267"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40195","15152","55347"
"National","gauteng","Ekurhuleni MM","Public Health","Male","31954","11126","43080"
"National","gauteng","Johannesburg MM","Private Health","Female","24809","13426","38235"
"National","gauteng","Johannesburg MM","Private Health","Male","22700","11715","34415"
"National","gauteng","Johannesburg MM","Public Health","Female","45573","16663","62236"
"National","gauteng","Johannesburg MM","Public Health","Male","37037","13079","50116"
"National","gauteng","Sedibeng DM","Private Health","Female","1558","989","2547"
"National","gauteng","Sedibeng DM","Private Health","Male","1382","667","2049"
"National","gauteng","Sedibeng DM","Public Health","Female","13519","5789","19308"
"National","gauteng","Sedibeng DM","Public Health","Male","10698","4487","15185"
"National","gauteng","Tshwane MM","Private Health","Female","11171","6457","17628"
"National","gauteng","Tshwane MM","Private Health","Male","10678","5882","16560"
"National","gauteng","Tshwane MM","Public Health","Female","39442","18513","57955"
"National","gauteng","Tshwane MM","Public Health","Male","30632","13098","43730"
"National","gauteng","West Rand DM","Private Health","Female","2129","1477","3606"
"National","gauteng","West Rand DM","Private Health","Male","1776","1205","2981"
"National","gauteng","West Rand DM","Public Health","Female","17198","8716","25914"
"National","gauteng","West Rand DM","Public Health","Male","14097","6540","20637"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","208","70","278"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","177","53","230"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6420","2790","9210"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4167","1742","5909"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11477","6772","18249"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10724","6018","16742"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14318","5519","19837"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11660","4422","16082"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","343","157","500"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","332","130","462"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12791","7672","20463"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10031","5579","15610"
"National","kwazulu-natal","iLembe DM","Private Health","Female","525","318","843"
"National","kwazulu-natal","iLembe DM","Private Health","Male","470","274","744"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8177","4067","12244"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4837","2181","7018"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","318","127","445"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","300","89","389"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12129","4971","17100"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","7917","3040","10957"
"National","kwazulu-natal","Ugu DM","Private Health","Female","870","540","1410"
"National","kwazulu-natal","Ugu DM","Private Health","Male","696","411","1107"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12139","5065","17204"
