Unnamed: 0,visit_date,province,district,age_group,sex,vaccine_manufacturer,vaccine_rollout_phase,health_sector,first_dose_total,second_dose_total,booster_dose_total,immunocompromised_booster_dose_total,continuous_booster_dose_total,sisonke_booster_dose_total,individuals_vaccinated_total,individuals_fully_vaccinated_total,total_vaccines_administered,total_population
3480000,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,10.0,0.0,2.0,0.0,6.0,6.0,18.0,49267.0
3480001,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,10.0,0.0,2.0,0.0,6.0,6.0,18.0,58753.0
3480002,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,10.0,0.0,2.0,0.0,6.0,6.0,18.0,62494.0
3480003,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,10.0,0.0,2.0,0.0,6.0,6.0,18.0,71910.0
3480004,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,10.0,0.0,2.0,0.0,6.0,6.0,18.0,72427.0
3480005,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,10.0,0.0,2.0,0.0,6.0,6.0,18.0,83540.0
3480006,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,10.0,56401.0
3480007,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,10.0,67261.0
3480008,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,10.0,71541.0
3480009,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,10.0,82322.0
3480010,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,10.0,82913.0
3480011,2023-07-14,Gauteng,Ekurhuleni MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,10.0,95636.0
3480012,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,20812.0
3480013,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,24820.0
3480014,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,26399.0
3480015,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,30377.0
3480016,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,30596.0
3480017,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8.0,35291.0
3480018,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21002.0
3480019,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25048.0
3480020,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26641.0
3480021,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30655.0
3480022,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30876.0
3480023,2023-07-14,Gauteng,Ekurhuleni MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35614.0
3480024,2023-07-14,Gauteng,Ekurhuleni MM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,22105.0
3480025,2023-07-14,Gauteng,Ekurhuleni MM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,26362.0
3480026,2023-07-14,Gauteng,Ekurhuleni MM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,28039.0
3480027,2023-07-14,Gauteng,Ekurhuleni MM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,32264.0
3480028,2023-07-14,Gauteng,Ekurhuleni MM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,32497.0
3480029,2023-07-14,Gauteng,Ekurhuleni MM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,37481.0
3480030,2023-07-14,Gauteng,Ekurhuleni MM,60+,Male,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18888.0
3480031,2023-07-14,Gauteng,Ekurhuleni MM,60+,Male,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,22523.0
3480032,2023-07-14,Gauteng,Ekurhuleni MM,60+,Male,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,23957.0
3480033,2023-07-14,Gauteng,Ekurhuleni MM,60+,Male,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,27568.0
3480034,2023-07-14,Gauteng,Ekurhuleni MM,60+,Male,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,27765.0
3480035,2023-07-14,Gauteng,Ekurhuleni MM,60+,Male,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,32027.0
3480036,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,54571.0
3480037,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,101984.0
3480038,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,116079.0
3480039,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,151237.0
3480040,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,166641.0
3480041,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,168714.0
3480042,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Private,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,252860.0
3480043,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,54571.0
3480044,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,101984.0
3480045,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,116079.0
3480046,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,151237.0
3480047,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,166641.0
3480048,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,168714.0
3480049,2023-07-14,Gauteng,Johannesburg MM,18-34,Female,Johnson & Johnson,National,Public,17.0,0.0,15.0,0.0,1.0,0.0,17.0,17.0,33.0,252860.0
3480050,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,52606.0
3480051,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,98313.0
3480052,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,111902.0
3480053,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,145793.0
3480054,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,160643.0
3480055,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,162641.0
3480056,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Private,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,243758.0
3480057,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,52606.0
3480058,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,98313.0
3480059,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,111902.0
3480060,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,145793.0
3480061,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,160643.0
3480062,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,162641.0
3480063,2023-07-14,Gauteng,Johannesburg MM,18-34,Male,Johnson & Johnson,National,Public,10.0,0.0,7.0,0.0,2.0,0.0,10.0,10.0,19.0,243758.0
3480064,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,37076.0
3480065,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,69289.0
3480066,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,78867.0
3480067,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,102753.0
3480068,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,113220.0
3480069,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,114629.0
3480070,2023-07-14,Gauteng,Johannesburg MM,35-49,Female,Johnson & Johnson,National,Public,6.0,0.0,11.0,0.0,1.0,0.0,6.0,6.0,18.0,171798.0
3480071,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,38501.0
3480072,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,71952.0
3480073,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,81899.0
3480074,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,106701.0
3480075,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,117569.0
3480076,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,119031.0
3480077,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Private,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,178398.0
3480078,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,38501.0
3480079,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,71952.0
3480080,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,81899.0
3480081,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,106701.0
3480082,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,117569.0
3480083,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,119031.0
3480084,2023-07-14,Gauteng,Johannesburg MM,35-49,Male,Johnson & Johnson,National,Public,5.0,0.0,3.0,0.0,1.0,0.0,5.0,5.0,9.0,178398.0
3480085,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,13566.0
3480086,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,25353.0
3480087,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,28857.0
3480088,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,37596.0
3480089,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,41426.0
3480090,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,41941.0
3480091,2023-07-14,Gauteng,Johannesburg MM,50-59,Female,Johnson & Johnson,National,Public,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,62859.0
3480092,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,13043.0
3480093,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,24376.0
3480094,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,27745.0
3480095,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,36148.0
3480096,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,39831.0
3480097,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,40326.0
3480098,2023-07-14,Gauteng,Johannesburg MM,50-59,Male,Johnson & Johnson,National,Public,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,60438.0
3480099,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,14702.0
3480100,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,27476.0
3480101,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,31272.0
3480102,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,40746.0
3480103,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,44895.0
3480104,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,45454.0
3480105,2023-07-14,Gauteng,Johannesburg MM,60+,Female,Johnson & Johnson,National,Public,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,68123.0
3480106,2023-07-14,Gauteng,Johannesburg MM,60+,Male,Johnson & Johnson,National,Public,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,11061.0
3480107,2023-07-14,Gauteng,Johannesburg MM,60+,Male,Johnson & Johnson,National,Public,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,20673.0
3480108,2023-07-14,Gauteng,Johannesburg MM,60+,Male,Johnson & Johnson,National,Public,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,23532.0
3480109,2023-07-14,Gauteng,Johannesburg MM,60+,Male,Johnson & Johnson,National,Public,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,30659.0
3480110,2023-07-14,Gauteng,Johannesburg MM,60+,Male,Johnson & Johnson,National,Public,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,33782.0
