"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health",18
"eastern cape","Public Health",555
"Eastern Cape","Private Health",1713
"Eastern Cape","Public Health",5596
"free state","Private Health",19
"free state","Public Health",235
"Free State","Private Health",1105
"Free State","Public Health",4075
"gauteng","Private Health",769
"gauteng","Public Health",638
"Gauteng","Private Health",12634
"Gauteng","Public Health",18963
"kwazulu-natal","Private Health",199
"kwazulu-natal","Public Health",645
"KwaZulu-Natal","Private Health",3264
"KwaZulu-Natal","Public Health",7403
"limpopo","Private Health",7
"limpopo","Public Health",273
"Limpopo","Private Health",2122
"Limpopo","Public Health",8075
"mpumalanga","Private Health",35
"mpumalanga","Public Health",97
"Mpumalanga","Private Health",1379
"Mpumalanga","Public Health",4297
"northern cape","Private Health",11
"northern cape","Public Health",77
"Northern Cape","Private Health",546
"Northern Cape","Public Health",1304
"north west","Private Health",72
"north west","Public Health",159
"North West","Private Health",1507
"North West","Public Health",4792
"western cape","Private Health",299
"western cape","Public Health",708
"Western Cape","Private Health",5044
"Western Cape","Public Health",7900
