"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","894","0","1455","2349"
"Janssen Vaccines & Prevention B.V","free state","Adults","524","0","1003","1527"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","2144","0","1905","4049"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","988","0","1548","2536"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","769","0","1705","2474"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1118","0","1239","2357"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","96","0","235","331"
"Janssen Vaccines & Prevention B.V","north west","Adults","633","0","1008","1641"
"Janssen Vaccines & Prevention B.V","western cape","Adults","569","0","915","1484"
"Pfizer","eastern cape","12-17 Years","506","720","0","1226"
"Pfizer","eastern cape","Adults","725","1275","3169","5169"
"Pfizer","free state","12-17 Years","300","960","0","1260"
"Pfizer","free state","Adults","413","758","1882","3053"
"Pfizer","gauteng","12-17 Years","813","2660","0","3473"
"Pfizer","gauteng","Adults","2143","5412","7137","14692"
"Pfizer","kwazulu-natal","12-17 Years","280","779","0","1059"
"Pfizer","kwazulu-natal","Adults","1059","1804","2884","5747"
"Pfizer","limpopo","12-17 Years","853","1117","0","1970"
"Pfizer","limpopo","Adults","388","956","2437","3781"
"Pfizer","mpumalanga","12-17 Years","430","473","0","903"
"Pfizer","mpumalanga","Adults","352","586","1345","2283"
"Pfizer","northern cape","12-17 Years","51","94","0","145"
"Pfizer","northern cape","Adults","131","182","372","685"
"Pfizer","north west","12-17 Years","289","422","0","711"
"Pfizer","north west","Adults","391","706","1505","2602"
"Pfizer","western cape","12-17 Years","254","719","0","973"
"Pfizer","western cape","Adults","798","1622","5139","7559"
