"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","647","0","1151","1798"
"Janssen Vaccines & Prevention B.V","free state","Adults","369","0","630","999"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1479","0","1531","3010"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","763","0","1067","1830"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","711","0","1359","2070"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","975","0","1007","1982"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","91","0","204","295"
"Janssen Vaccines & Prevention B.V","north west","Adults","446","0","883","1329"
"Janssen Vaccines & Prevention B.V","western cape","Adults","381","0","578","959"
"Pfizer","eastern cape","12-17 Years","1307","1158","0","2465"
"Pfizer","eastern cape","Adults","513","939","2362","3814"
"Pfizer","free state","12-17 Years","411","657","0","1068"
"Pfizer","free state","Adults","305","450","1512","2267"
"Pfizer","gauteng","12-17 Years","483","974","1","1458"
"Pfizer","gauteng","Adults","1683","3211","5502","10396"
"Pfizer","kwazulu-natal","12-17 Years","902","868","0","1770"
"Pfizer","kwazulu-natal","Adults","852","1380","2104","4336"
"Pfizer","limpopo","12-17 Years","466","236","0","702"
"Pfizer","limpopo","Adults","362","633","1610","2605"
"Pfizer","mpumalanga","12-17 Years","1050","630","0","1680"
"Pfizer","mpumalanga","Adults","343","505","1019","1867"
"Pfizer","northern cape","12-17 Years","30","71","0","101"
"Pfizer","northern cape","Adults","94","119","358","571"
"Pfizer","north west","12-17 Years","702","568","0","1270"
"Pfizer","north west","Adults","262","438","1011","1711"
"Pfizer","western cape","12-17 Years","94","203","0","297"
"Pfizer","western cape","Adults","587","973","3165","4725"
