"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","66"
"Janssen Vaccines & Prevention B.V","free state","Adults","21"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","398"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","189"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","61"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","73"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","9"
"Janssen Vaccines & Prevention B.V","north west","Adults","152"
"Janssen Vaccines & Prevention B.V","western cape","Adults","46"
"Pfizer","eastern cape","12-17 Years","66"
"Pfizer","eastern cape","Adults","115"
"Pfizer","free state","12-17 Years","64"
"Pfizer","free state","Adults","54"
"Pfizer","gauteng","12-17 Years","588"
"Pfizer","gauteng","Adults","1305"
"Pfizer","kwazulu-natal","12-17 Years","213"
"Pfizer","kwazulu-natal","Adults","515"
"Pfizer","limpopo","12-17 Years","87"
"Pfizer","limpopo","Adults","115"
"Pfizer","mpumalanga","12-17 Years","54"
"Pfizer","mpumalanga","Adults","94"
"Pfizer","northern cape","12-17 Years","17"
"Pfizer","northern cape","Adults","34"
"Pfizer","north west","12-17 Years","77"
"Pfizer","north west","Adults","175"
"Pfizer","western cape","12-17 Years","101"
"Pfizer","western cape","Adults","197"
