"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1644"
"eastern cape","Public Health","4666"
"free state","Private Health","1277"
"free state","Public Health","4944"
"gauteng","Private Health","12227"
"gauteng","Public Health","11811"
"kwazulu-natal","Private Health","2789"
"kwazulu-natal","Public Health","7752"
"limpopo","Private Health","1752"
"limpopo","Public Health","5319"
"mpumalanga","Private Health","903"
"mpumalanga","Public Health","4102"
"northern cape","Private Health","532"
"northern cape","Public Health","846"
"north west","Private Health","1225"
"north west","Public Health","3563"
"western cape","Private Health","4259"
"western cape","Public Health","6807"
