"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","364191","839479"
"EASTERN CAPE","18-34","Male","270571","854468"
"EASTERN CAPE","35-49","Female","358893","586430"
"EASTERN CAPE","35-49","Male","240953","522727"
"EASTERN CAPE","50-59","Female","231795","320585"
"EASTERN CAPE","50-59","Male","144534","196960"
"EASTERN CAPE","60+","Female","349655","517296"
"EASTERN CAPE","60+","Male","209704","261598"
"EASTERN CAPE","Unidentified","Female","325",""
"EASTERN CAPE","Unidentified","Male","102",""
"FREE STATE","18-34","Female","217361","410210"
"FREE STATE","18-34","Male","164039","419145"
"FREE STATE","35-49","Female","186869","283918"
"FREE STATE","35-49","Male","152946","266941"
"FREE STATE","50-59","Female","102374","140470"
"FREE STATE","50-59","Male","79024","105617"
"FREE STATE","60+","Female","130556","178195"
"FREE STATE","60+","Male","81642","110025"
"FREE STATE","Unidentified","Female","100",""
"FREE STATE","Unidentified","Male","71",""
"GAUTENG","18-34","Female","939471","2584852"
"GAUTENG","18-34","Male","790780","2611302"
"GAUTENG","35-49","Female","958050","1659380"
"GAUTENG","35-49","Male","890704","1782603"
"GAUTENG","50-59","Female","425064","675158"
"GAUTENG","50-59","Male","402334","655342"
"GAUTENG","60+","Female","470243","745260"
"GAUTENG","60+","Male","357633","597429"
"GAUTENG","Unidentified","Female","323",""
"GAUTENG","Unidentified","Male","200",""
"KWAZULU-NATAL","18-34","Female","574941","1707989"
"KWAZULU-NATAL","18-34","Male","396762","1725158"
"KWAZULU-NATAL","35-49","Female","545077","1071255"
"KWAZULU-NATAL","35-49","Male","389416","951364"
"KWAZULU-NATAL","50-59","Female","291731","492136"
"KWAZULU-NATAL","50-59","Male","194428","316845"
"KWAZULU-NATAL","60+","Female","426081","624115"
"KWAZULU-NATAL","60+","Male","240915","330933"
"KWAZULU-NATAL","Unidentified","Female","392",""
"KWAZULU-NATAL","Unidentified","Male","147",""
"LIMPOPO","18-34","Female","404171","818804"
"LIMPOPO","18-34","Male","268979","833104"
"LIMPOPO","35-49","Female","362070","573264"
"LIMPOPO","35-49","Male","237093","493423"
"LIMPOPO","50-59","Female","194554","265501"
"LIMPOPO","50-59","Male","129756","165831"
"LIMPOPO","60+","Female","282951","372555"
"LIMPOPO","60+","Male","162223","173319"
"LIMPOPO","Unidentified","Female","654",""
"LIMPOPO","Unidentified","Male","108",""
"MPUMALANGA","18-34","Female","251080","681710"
"MPUMALANGA","18-34","Male","205284","729028"
"MPUMALANGA","35-49","Female","225314","451254"
"MPUMALANGA","35-49","Male","193875","457785"
"MPUMALANGA","50-59","Female","112177","197794"
"MPUMALANGA","50-59","Male","90131","151183"
"MPUMALANGA","60+","Female","135773","224305"
"MPUMALANGA","60+","Male","97319","146461"
"MPUMALANGA","Unidentified","Female","170",""
"MPUMALANGA","Unidentified","Male","75",""
"NORTHERN CAPE","18-34","Female","73142","174695"
"NORTHERN CAPE","18-34","Male","69438","182300"
"NORTHERN CAPE","35-49","Female","66312","118328"
"NORTHERN CAPE","35-49","Male","69566","131923"
"NORTHERN CAPE","50-59","Female","35911","57823"
"NORTHERN CAPE","50-59","Male","33079","49198"
"NORTHERN CAPE","60+","Female","43045","80820"
"NORTHERN CAPE","60+","Male","31882","52458"
"NORTHERN CAPE","Unidentified","Female","24",""
"NORTHERN CAPE","Unidentified","Male","10",""
"NORTH WEST","18-34","Female","231024","547199"
"NORTH WEST","18-34","Male","189720","611287"
"NORTH WEST","35-49","Female","207776","386831"
"NORTH WEST","35-49","Male","207417","437698"
"NORTH WEST","50-59","Female","106046","173790"
"NORTH WEST","50-59","Male","104621","168889"
"NORTH WEST","60+","Female","136404","213393"
"NORTH WEST","60+","Male","102144","154160"
"NORTH WEST","Unidentified","Female","135",""
"NORTH WEST","Unidentified","Male","121",""
"WESTERN CAPE","18-34","Female","509000","1010156"
"WESTERN CAPE","18-34","Male","437016","1047625"
"WESTERN CAPE","35-49","Female","465148","744325"
"WESTERN CAPE","35-49","Male","406810","767488"
"WESTERN CAPE","50-59","Female","238912","368383"
"WESTERN CAPE","50-59","Male","205651","315766"
"WESTERN CAPE","60+","Female","307218","422288"
"WESTERN CAPE","60+","Male","227540","300872"
"WESTERN CAPE","Unidentified","Female","131",""
"WESTERN CAPE","Unidentified","Male","82",""
