"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","881581"
"eastern cape","Pfizer","1292863"
"free state","Johnson & Johnson","469438"
"free state","Pfizer","647769"
"gauteng","Johnson & Johnson","1459272"
"gauteng","Pfizer","3786108"
"kwazulu-natal","Johnson & Johnson","1178290"
"kwazulu-natal","Pfizer","1888685"
"limpopo","Johnson & Johnson","1041026"
"limpopo","Pfizer","1005099"
"mpumalanga","Johnson & Johnson","771786"
"mpumalanga","Pfizer","543964"
"northern cape","Johnson & Johnson","207213"
"northern cape","Pfizer","215897"
"north west","Johnson & Johnson","688615"
"north west","Pfizer","599331"
"western cape","Johnson & Johnson","724781"
"western cape","Pfizer","2076308"
