"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","122711","24714","416942"
"EASTERN CAPE","12-17","Male","98829","16856","429096"
"FREE STATE","12-17","Female","83034","30160","161705"
"FREE STATE","12-17","Male","69784","21799","162847"
"GAUTENG","12-17","Female","195930","67127","649047"
"GAUTENG","12-17","Male","160572","52319","648920"
"KWAZULU-NATAL","12-17","Female","131375","33964","647510"
"KWAZULU-NATAL","12-17","Male","92930","23420","658202"
"LIMPOPO","12-17","Female","119162","31280","352420"
"LIMPOPO","12-17","Male","99459","23475","372427"
"MPUMALANGA","12-17","Female","61760","14261","257710"
"MPUMALANGA","12-17","Male","51240","10573","259479"
"NORTHERN CAPE","12-17","Female","13096","4087","69852"
"NORTHERN CAPE","12-17","Male","10687","3029","69047"
"NORTH WEST","12-17","Female","74120","18442","221385"
"NORTH WEST","12-17","Male","62135","13610","223092"
"WESTERN CAPE","12-17","Female","70162","25478","320269"
"WESTERN CAPE","12-17","Male","59375","20984","322848"
