"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","813286","0","62912","876198"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","440754","0","43320","484074"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1302668","0","112010","1414678"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1071101","0","87436","1158537"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","999298","0","59914","1059212"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","739825","0","53166","792991"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","196663","0","13016","209679"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","659161","0","55310","714471"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","625519","0","68059","693578"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137070","0","65347","202417"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94464","0","40019","134483"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34169","0","17016","51185"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21841","0","7148","28989"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23454","0","8964","32418"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94392","0","61520","155912"
"Pfizer","National","eastern cape","Adults","1285921","1060587","107174","2453682"
"Pfizer","National","eastern cape","12-17 Years","215614","34075","0","249689"
"Pfizer","National","free state","12-17 Years","150260","43977","0","194237"
"Pfizer","National","free state","Adults","643446","554875","66038","1264359"
"Pfizer","National","gauteng","12-17 Years","351572","100274","2","451848"
"Pfizer","National","gauteng","Adults","3761726","3187828","392644","7342198"
"Pfizer","National","kwazulu-natal","Adults","1873568","1527465","192354","3593387"
"Pfizer","National","kwazulu-natal","12-17 Years","217008","47498","2","264508"
"Pfizer","National","limpopo","Adults","999655","827650","77623","1904928"
"Pfizer","National","limpopo","12-17 Years","213203","46683","0","259886"
"Pfizer","National","mpumalanga","12-17 Years","107647","20230","0","127877"
"Pfizer","National","mpumalanga","Adults","539136","436372","49019","1024527"
"Pfizer","National","northern cape","12-17 Years","23538","6156","0","29694"
"Pfizer","National","northern cape","Adults","214667","181813","16770","413250"
"Pfizer","National","north west","12-17 Years","132593","27310","0","159903"
"Pfizer","National","north west","Adults","595167","505398","56413","1156978"
"Pfizer","National","western cape","12-17 Years","128355","41571","2","169928"
"Pfizer","National","western cape","Adults","2067514","1795575","310895","4173984"
