"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10610","4028","14638"
"National","eastern cape","Private Health","Male","8800","3055","11855"
"National","eastern cape","Public Health","Female","108626","16164","124790"
"National","eastern cape","Public Health","Male","87484","10899","98383"
"National","free state","Private Health","Female","8570","2944","11514"
"National","free state","Private Health","Male","6939","2246","9185"
"National","free state","Public Health","Female","73036","22574","95610"
"National","free state","Public Health","Male","61629","16267","77896"
"National","gauteng","Private Health","Female","53367","23249","76616"
"National","gauteng","Private Health","Male","48173","19687","67860"
"National","gauteng","Public Health","Female","139985","33099","173084"
"National","gauteng","Public Health","Male","110032","24979","135011"
"National","kwazulu-natal","Private Health","Female","17469","8138","25607"
"National","kwazulu-natal","Private Health","Male","15678","6839","22517"
"National","kwazulu-natal","Public Health","Female","109751","19875","129626"
"National","kwazulu-natal","Public Health","Male","74647","13017","87664"
"National","limpopo","Private Health","Female","9886","3597","13483"
"National","limpopo","Private Health","Male","7864","2576","10440"
"National","limpopo","Public Health","Female","106392","23100","129492"
"National","limpopo","Public Health","Male","88906","17444","106350"
"National","mpumalanga","Private Health","Female","4007","1306","5313"
"National","mpumalanga","Private Health","Male","3439","1141","4580"
"National","mpumalanga","Public Health","Female","55483","10467","65950"
"National","mpumalanga","Public Health","Male","44731","7443","52174"
"National","northern cape","Private Health","Female","2094","836","2930"
"National","northern cape","Private Health","Male","1875","623","2498"
"National","northern cape","Public Health","Female","10834","2683","13517"
"National","northern cape","Public Health","Male","8730","2031","10761"
"National","north west","Private Health","Female","5105","1855","6960"
"National","north west","Private Health","Male","4598","1572","6170"
"National","north west","Public Health","Female","66971","13929","80900"
"National","north west","Public Health","Male","55942","10167","66109"
"National","western cape","Private Health","Female","23348","9901","33249"
"National","western cape","Private Health","Male","20712","8288","29000"
"National","western cape","Public Health","Female","46150","13048","59198"
"National","western cape","Public Health","Male","38069","10470","48539"
