"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","878433"
"Janssen Vaccines & Prevention B.V","free state","Adults","467638"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1451583"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1172846"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1037598"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","767352"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206727"
"Janssen Vaccines & Prevention B.V","north west","Adults","686399"
"Janssen Vaccines & Prevention B.V","western cape","Adults","722671"
"Pfizer","eastern cape","12-17 Years","37786"
"Pfizer","eastern cape","Adults","1066820"
"Pfizer","free state","12-17 Years","49229"
"Pfizer","free state","Adults","559214"
"Pfizer","gauteng","12-17 Years","114589"
"Pfizer","gauteng","Adults","3221362"
"Pfizer","kwazulu-natal","12-17 Years","52800"
"Pfizer","kwazulu-natal","Adults","1540249"
"Pfizer","limpopo","12-17 Years","52482"
"Pfizer","limpopo","Adults","833027"
"Pfizer","mpumalanga","12-17 Years","22702"
"Pfizer","mpumalanga","Adults","440199"
"Pfizer","northern cape","12-17 Years","6725"
"Pfizer","northern cape","Adults","182888"
"Pfizer","north west","12-17 Years","29845"
"Pfizer","north west","Adults","509848"
"Pfizer","western cape","12-17 Years","45076"
"Pfizer","western cape","Adults","1804644"
