"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","500414"
"kwazulu-natal","Private Health","1166776"
"western cape","Private Health","1800311"
"limpopo","Private Health","556028"
"northern cape","Public Health","533043"
"gauteng","Private Health","4269195"
"kwazulu-natal","Public Health","4111029"
"free state","Public Health","1668871"
"north west","Public Health","1621669"
"gauteng","Public Health","5372074"
"mpumalanga","Private Health","377177"
"mpumalanga","Public Health","1659913"
"northern cape","Private Health","146934"
"eastern cape","Private Health","647804"
"western cape","Public Health","3491667"
"limpopo","Public Health","2799395"
"free state","Private Health","366920"
"eastern cape","Public Health","3106768"
