"province","health_sector","visit_date","total_number_vaccines_administered"
"eastern cape","Private Health","2021/05/17 00:00:00","63"
"eastern cape","Private Health","2021/03/18 00:00:00","377"
"north west","Private Health","2021/12/28 00:00:00","802"
"north west","Private Health","2021/03/11 00:00:00","207"
"northern cape","Private Health","2021/09/05 00:00:00","92"
"limpopo","Private Health","2021/10/16 00:00:00","619"
"limpopo","Public Health","2021/07/02 00:00:00","18729"
"north west","Public Health","2021/12/13 00:00:00","3840"
"free state","Public Health","2022/01/18 00:00:00","4454"
"western cape","Public Health","2021/09/26 00:00:00","19"
"limpopo","Private Health","2021/06/28 00:00:00","363"
"kwazulu-natal","Public Health","2021/12/21 00:00:00","6336"
"gauteng","Public Health","2022/01/10 00:00:00","19875"
"free state","Public Health","2021/05/17 00:00:00","262"
"free state","Private Health","2021/07/15 00:00:00","1637"
"western cape","Private Health","2021/03/18 00:00:00","164"
"western cape","Public Health","2021/08/13 00:00:00","19147"
"kwazulu-natal","Public Health","2021/10/08 00:00:00","20580"
"kwazulu-natal","Public Health","2021/12/23 00:00:00","4309"
"eastern cape","Private Health","2022/01/25 00:00:00","1816"
"mpumalanga","Public Health","2021/07/25 00:00:00","231"
"free state","Public Health","2021/02/25 00:00:00","801"
"limpopo","Private Health","2022/02/03 00:00:00","1142"
"gauteng","Private Health","2021/03/10 00:00:00","975"
"mpumalanga","Public Health","2021/09/21 00:00:00","9089"
"gauteng","Private Health","2021/03/21 00:00:00","11"
"eastern cape","Private Health","2022/02/23 00:00:00","1524"
"eastern cape","Public Health","2021/11/21 00:00:00","903"
"mpumalanga","Public Health","2021/10/12 00:00:00","10382"
"kwazulu-natal","Public Health","2021/05/10 00:00:00","1709"
"limpopo","Public Health","2021/07/11 00:00:00","6"
"western cape","Public Health","2022/03/25 00:00:00","6983"
"northern cape","Public Health","2021/08/29 00:00:00","898"
"mpumalanga","Public Health","2022/01/10 00:00:00","5291"
"eastern cape","Private Health","2021/10/21 00:00:00","3318"
"kwazulu-natal","Private Health","2022/02/11 00:00:00","2438"
"free state","Private Health","2022/01/04 00:00:00","819"
"north west","Private Health","2021/07/24 00:00:00","1073"
"limpopo","Private Health","2021/05/24 00:00:00","43"
"free state","Public Health","2021/11/10 00:00:00","9549"
"limpopo","Private Health","2021/06/08 00:00:00","186"
"free state","Private Health","2022/01/21 00:00:00","1217"
"kwazulu-natal","Public Health","2022/01/26 00:00:00","10020"
"mpumalanga","Public Health","2022/01/25 00:00:00","4017"
"kwazulu-natal","Public Health","2021/09/28 00:00:00","16011"
"gauteng","Private Health","2022/03/06 00:00:00","688"
"free state","Public Health","2021/08/20 00:00:00","8910"
"free state","Private Health","2021/08/30 00:00:00","3231"
"eastern cape","Private Health","2021/09/15 00:00:00","4577"
"northern cape","Private Health","2021/12/11 00:00:00","153"
"western cape","Private Health","2022/01/05 00:00:00","3052"
"kwazulu-natal","Private Health","2021/10/17 00:00:00","854"
"free state","Private Health","2021/10/04 00:00:00","3402"
"eastern cape","Private Health","2021/09/25 00:00:00","656"
"gauteng","Private Health","2021/12/18 00:00:00","4061"
"western cape","Public Health","2021/04/09 00:00:00","305"
"gauteng","Private Health","2021/10/08 00:00:00","36039"
"north west","Public Health","2021/05/06 00:00:00","536"
"western cape","Private Health","2021/09/02 00:00:00","14702"
"eastern cape","Private Health","2021/07/30 00:00:00","4122"
"mpumalanga","Public Health","2021/11/19 00:00:00","5630"
"gauteng","Private Health","2021/12/06 00:00:00","18220"
"western cape","Public Health","2021/02/20 00:00:00","58"
"free state","Public Health","2021/06/25 00:00:00","6908"
"free state","Public Health","2021/05/20 00:00:00","438"
"free state","Private Health","2021/10/07 00:00:00","3268"
"northern cape","Private Health","2022/01/15 00:00:00","99"
"free state","Public Health","2021/09/24 00:00:00","624"
"north west","Private Health","2022/03/04 00:00:00","2566"
"mpumalanga","Public Health","2021/07/05 00:00:00","6686"
"limpopo","Private Health","2022/02/04 00:00:00","1141"
"northern cape","Public Health","2021/09/27 00:00:00","1772"
"limpopo","Public Health","2022/03/05 00:00:00","430"
"north west","Public Health","2021/05/25 00:00:00","3058"
"eastern cape","Public Health","2021/09/21 00:00:00","17998"
"western cape","Private Health","2021/08/03 00:00:00","11109"
"north west","Public Health","2021/07/19 00:00:00","9484"
"mpumalanga","Public Health","2021/05/29 00:00:00","33"
"north west","Private Health","2021/07/01 00:00:00","618"
"mpumalanga","Public Health","2021/08/27 00:00:00","12788"
"gauteng","Private Health","2021/06/27 00:00:00","555"
"free state","Private Health","2021/10/14 00:00:00","2953"
"gauteng","Private Health","2021/06/11 00:00:00","7892"
"mpumalanga","Public Health","2021/06/02 00:00:00","5313"
"gauteng","Public Health","2022/01/29 00:00:00","2932"
"kwazulu-natal","Private Health","2022/02/23 00:00:00","2702"
"kwazulu-natal","Public Health","2021/11/15 00:00:00","13343"
"north west","Private Health","2021/06/04 00:00:00","261"
"north west","Public Health","2021/03/30 00:00:00","299"
"free state","Public Health","2021/03/24 00:00:00","659"
"eastern cape","Public Health","2021/06/05 00:00:00","1"
"eastern cape","Private Health","2021/05/31 00:00:00","870"
"gauteng","Public Health","2021/04/07 00:00:00","1408"
"northern cape","Public Health","2021/02/18 00:00:00","177"
"limpopo","Public Health","2021/06/06 00:00:00","6"
"gauteng","Public Health","2022/02/10 00:00:00","13749"
"north west","Private Health","2021/03/21 00:00:00","1"
"kwazulu-natal","Public Health","2021/03/01 00:00:00","704"
"eastern cape","Public Health","2021/04/09 00:00:00","1119"
"north west","Public Health","2022/03/22 00:00:00","4202"
"free state","Public Health","2022/01/08 00:00:00","428"
"gauteng","Private Health","2021/07/11 00:00:00","2795"
"north west","Public Health","2022/03/24 00:00:00","5156"
"mpumalanga","Public Health","2021/03/16 00:00:00","130"
"western cape","Public Health","2021/03/23 00:00:00","1667"
"northern cape","Private Health","2021/09/12 00:00:00","66"
"northern cape","Public Health","2022/02/06 00:00:00","103"
"kwazulu-natal","Public Health","2021/05/14 00:00:00","1467"
"north west","Public Health","2021/07/02 00:00:00","6805"
"free state","Private Health","2022/03/03 00:00:00","1246"
"limpopo","Private Health","2021/07/04 00:00:00","15"
"north west","Private Health","2021/12/09 00:00:00","1874"
"north west","Private Health","2021/06/22 00:00:00","198"
"free state","Public Health","2021/11/08 00:00:00","5168"
"eastern cape","Public Health","2021/03/26 00:00:00","1153"
"mpumalanga","Public Health","2021/09/02 00:00:00","15643"
"western cape","Private Health","2021/09/08 00:00:00","14230"
"gauteng","Private Health","2021/09/21 00:00:00","25163"
"mpumalanga","Private Health","2021/11/11 00:00:00","1726"
"kwazulu-natal","Private Health","2021/11/20 00:00:00","2450"
"northern cape","Private Health","2021/08/19 00:00:00","634"
"mpumalanga","Private Health","2021/07/22 00:00:00","1764"
"kwazulu-natal","Public Health","2021/09/11 00:00:00","7439"
"free state","Private Health","2021/10/25 00:00:00","2515"
"mpumalanga","Private Health","2021/05/19 00:00:00","3"
"western cape","Public Health","2021/11/13 00:00:00","8132"
"northern cape","Private Health","2022/01/18 00:00:00","552"
"north west","Private Health","2022/02/23 00:00:00","1006"
"eastern cape","Private Health","2021/06/01 00:00:00","1045"
"kwazulu-natal","Private Health","2022/03/05 00:00:00","2737"
"kwazulu-natal","Private Health","2021/10/02 00:00:00","5728"
"limpopo","Private Health","2021/08/31 00:00:00","4549"
"gauteng","Private Health","2021/05/15 00:00:00","832"
"western cape","Private Health","2021/09/21 00:00:00","11076"
"free state","Private Health","2022/01/26 00:00:00","1115"
"gauteng","Public Health","2022/01/26 00:00:00","14539"
"kwazulu-natal","Public Health","2022/01/15 00:00:00","2796"
"north west","Public Health","2021/03/13 00:00:00","40"
"north west","Private Health","2021/06/08 00:00:00","246"
"mpumalanga","Public Health","2021/11/06 00:00:00","2664"
"gauteng","Public Health","2021/10/21 00:00:00","34315"
"northern cape","Public Health","2021/07/16 00:00:00","2978"
"gauteng","Public Health","2021/11/30 00:00:00","34537"
"free state","Public Health","2021/10/29 00:00:00","10427"
"gauteng","Private Health","2021/03/26 00:00:00","1082"
"limpopo","Public Health","2021/09/10 00:00:00","11699"
"free state","Private Health","2022/03/04 00:00:00","1292"
"free state","Public Health","2021/05/27 00:00:00","4199"
"kwazulu-natal","Public Health","2022/01/24 00:00:00","10060"
"limpopo","Private Health","2022/03/16 00:00:00","1461"
"western cape","Public Health","2022/03/29 00:00:00","4836"
"limpopo","Private Health","2021/06/27 00:00:00","1"
"mpumalanga","Private Health","2021/10/26 00:00:00","2119"
"north west","Public Health","2021/02/26 00:00:00","550"
"western cape","Public Health","2021/10/28 00:00:00","23664"
"mpumalanga","Private Health","2022/03/20 00:00:00","1"
"western cape","Public Health","2021/12/20 00:00:00","4721"
"western cape","Public Health","2021/08/17 00:00:00","25435"
"north west","Public Health","2021/09/14 00:00:00","11967"
"northern cape","Private Health","2021/10/11 00:00:00","949"
"free state","Public Health","2022/01/07 00:00:00","5474"
"western cape","Private Health","2021/12/30 00:00:00","2513"
"kwazulu-natal","Private Health","2022/03/03 00:00:00","3713"
"free state","Private Health","2021/03/11 00:00:00","88"
"kwazulu-natal","Public Health","2021/12/24 00:00:00","1577"
"limpopo","Private Health","2021/08/10 00:00:00","2502"
"north west","Public Health","2021/09/22 00:00:00","10566"
"western cape","Public Health","2021/05/19 00:00:00","1779"
"mpumalanga","Public Health","2021/08/21 00:00:00","3056"
"gauteng","Public Health","2021/05/03 00:00:00","947"
"free state","Public Health","2022/03/17 00:00:00","5315"
"limpopo","Private Health","2021/06/24 00:00:00","255"
"north west","Public Health","2022/01/05 00:00:00","3493"
"free state","Public Health","2021/06/02 00:00:00","5193"
"western cape","Private Health","2021/07/25 00:00:00","719"
"kwazulu-natal","Private Health","2022/03/07 00:00:00","3111"
"free state","Public Health","2021/05/19 00:00:00","519"
"mpumalanga","Public Health","2021/04/08 00:00:00","429"
"free state","Public Health","2021/06/03 00:00:00","4928"
"limpopo","Private Health","2021/08/14 00:00:00","214"
"gauteng","Private Health","2021/12/20 00:00:00","11656"
"free state","Public Health","2021/12/06 00:00:00","7385"
"limpopo","Private Health","2022/03/05 00:00:00","649"
"northern cape","Public Health","2021/08/05 00:00:00","3835"
"northern cape","Private Health","2022/02/23 00:00:00","453"
"mpumalanga","Private Health","2021/06/06 00:00:00","1"
"limpopo","Public Health","2021/02/19 00:00:00","75"
"north west","Private Health","2022/02/03 00:00:00","778"
"limpopo","Public Health","2022/02/13 00:00:00","155"
"north west","Public Health","2021/05/27 00:00:00","2750"
"mpumalanga","Public Health","2021/03/12 00:00:00","167"
"limpopo","Private Health","2022/01/15 00:00:00","512"
"free state","Private Health","2022/02/14 00:00:00","874"
"free state","Private Health","2021/10/23 00:00:00","655"
"free state","Public Health","2021/07/19 00:00:00","11321"
"gauteng","Public Health","2021/05/11 00:00:00","2570"
"free state","Public Health","2021/08/29 00:00:00","1141"
"eastern cape","Public Health","2021/10/21 00:00:00","18247"
"western cape","Private Health","2021/03/31 00:00:00","495"
"limpopo","Public Health","2021/09/12 00:00:00","114"
